run,seed,algorithm,n_pareto,hv,time_s,f1_min,f1_max,f2_min,f2_max
1,1,nsga2,17,1.1368683772161603e-13,77.20605687499938,43585.69099187429,62112.785663045885,0.06000000000000005,0.21999999999999997
1,1,battery_focused,17,2.2737367544323206e-13,107.11367908299962,41365.61451856789,62973.11916916783,0.06000000000000005,0.20999999999999996
2,2,nsga2,21,4.547473508864641e-13,76.6961275829999,39104.95661631357,65253.96092923275,0.06000000000000005,0.286182318730978
2,2,battery_focused,16,-1.1368683772161603e-13,105.82960062500024,40180.6579622249,59978.089096034,0.06000000000000005,0.27
3,3,nsga2,20,-3.410605131648481e-13,78.842029292,41352.97174613593,64357.22810408973,0.06000000000000005,0.32237321245982864
3,3,battery_focused,14,2.2737367544323206e-13,111.99136912500035,43495.690525521,65287.47938148961,0.06000000000000005,0.21999999999999997
4,4,nsga2,22,1.7053025658242404e-13,82.09575645900077,45609.13414352812,67103.59867316084,0.06000000000000005,0.2565367983842606
4,4,battery_focused,21,-4.547473508864641e-13,114.10740095899928,43572.780917701915,64162.52835632593,0.06000000000000005,0.25097201532544555
5,5,nsga2,16,-3.979039320256561e-13,79.19344695899963,40249.80078240471,66232.05866168666,0.06000000000000005,0.24
5,5,battery_focused,15,-2.2737367544323206e-13,106.54367933300091,43641.050757203375,63076.919164187566,0.06000000000000005,0.22999999999999998
6,6,nsga2,16,1.1368683772161603e-13,80.9208880419992,45780.614002572096,59900.939665326136,0.06000000000000005,0.22999999999999998
6,6,battery_focused,16,2.2737367544323206e-13,108.5530663339996,40381.080526121696,61942.169779415235,0.06000000000000005,0.26180143196797767
7,7,nsga2,16,1.7053025658242404e-13,80.11823904100129,45436.05780079996,70652.68609341164,0.06000000000000005,0.2454336692457184
7,7,battery_focused,13,-1.1368683772161603e-13,110.87175483300052,44848.49029477097,62116.67677472597,0.06000000000000005,0.17000000000000004
8,8,nsga2,19,0.0,78.74966837500142,41252.19999819514,65345.13396943467,0.06000000000000005,0.21999999999999997
8,8,battery_focused,15,1.1368683772161603e-13,114.14590108399898,42471.2957714478,63275.63105766837,0.06000000000000005,0.18999999999999995
9,9,nsga2,18,-1.1368683772161603e-13,81.82987549999962,43303.89560861807,62116.795437583816,0.06000000000000005,0.22999999999999998
9,9,battery_focused,11,2.2737367544323206e-13,114.47365470899967,44613.39795550793,64412.84983837361,0.06000000000000005,0.17249893079630507
10,10,nsga2,16,0.0,86.54250612500073,44391.75769027398,65189.127052692034,0.06000000000000005,0.26330781930074654
10,10,battery_focused,16,-1.1368683772161603e-13,110.19702433299972,43467.991794587186,59708.332563125354,0.06000000000000005,0.24224999999999997
