perm_id,c_f1,c_f2,c_g2,c_n_vehicles,c_total_distance,c_n_recharges,c_n_skipped,c_feasible,a_f1,a_f2,a_g2,a_n_vehicles,a_total_distance,a_n_recharges,a_n_skipped,a_feasible
1,58403.67052892898,0.009158702096074944,0.0,52,6403.670528928982,153,0,1,7392.253972668554,0.8860891958488041,63.06163022794917,2,5392.253972668554,83,0,0
2,54951.25061873863,0.0011465856099731608,0.0,49,5951.250618738633,144,0,1,7017.550760092494,0.8449571150218307,28.255723801985305,2,5017.550760092494,77,0,0
3,57162.35640262267,0.0008276472678623303,0.0,51,6162.356402622664,150,0,1,6964.70265325888,0.7990394661513555,83.59497101044757,2,4964.70265325888,72,0,0
4,53009.561376907295,0.008852822324057374,0.0,47,6009.561376907293,138,0,1,6784.159004875848,0.8305781164616624,87.15827564781854,2,4784.159004875848,73,0,0
5,56311.065680445194,0.002796630951129697,0.0,50,6311.0656804451955,147,0,1,7172.1443165491855,0.8407951416722544,62.08324792173056,2,5172.1443165491855,79,0,0
6,55954.52559777007,0.002694402235948523,0.0,50,5954.525597770076,147,0,1,7126.89010654817,0.8552492759507073,51.29717381077055,2,5126.89010654817,79,0,0
7,53778.67377586506,0.009731872268282982,0.0,48,5778.673775865061,141,0,1,6871.308132138386,0.8802551110625176,52.82358575688225,2,4871.308132138386,77,0,0
8,53625.13743563187,0.009465020521803647,0.0,48,5625.137435631871,141,0,1,7058.983562376238,0.8808452114563845,66.06390262784426,2,5058.983562376238,75,0,0
9,49611.44383915516,0.004366704916484276,0.0,44,5611.443839155159,129,0,1,6787.725153801151,0.8165410784731023,78.61493954975273,2,4787.725153801151,73,0,0
10,52814.52517229873,0.0015692354826475352,0.0,47,5814.525172298731,138,0,1,6866.848926619079,0.8756359042607225,38.20658668677551,2,4866.848926619079,74,0,0
11,51993.93567751178,0.0,0.0,46,5993.935677511776,135,0,1,7054.522636978381,0.8393513646551493,62.152873199842105,2,5054.522636978381,81,0,0
12,56921.22958744613,0.008945446658586653,0.0,51,5921.229587446123,150,0,1,7005.207374009711,0.8426795648379778,82.67920990206377,2,5005.207374009711,72,0,0
13,54953.22485437292,0.007098660393831335,0.0,49,5953.224854372919,144,0,1,7170.200945265979,0.8546228069953143,87.39899546124786,2,5170.200945265979,80,0,0
14,57313.35771356793,0.0,0.0,51,6313.3577135679325,150,0,1,7433.787358255086,0.8843188765535728,47.19753541797193,2,5433.787358255086,87,0,0
15,52746.235994456525,0.0024054337464722853,0.0,47,5746.235994456521,138,0,1,6890.424307923453,0.8121045030315757,73.40099202057802,2,4890.424307923453,75,0,0
16,56136.51718073289,0.0009113769342242728,0.0,50,6136.517180732889,147,0,1,7171.89804921174,0.8251779877400482,43.3045166053912,2,5171.89804921174,80,0,0
