algorithm,generation,n_eval,n_feasible,best_f1,best_f2,best_f3,mean_f1_feas,mean_f2_feas,mean_f3_feas,min_cv_pop
NSGA-II,1,39,2,6.0000,495.8377,1162.8058,7.0000,546.2251,1176.5938,0.000000
NSGA-II,2,139,9,6.0000,495.8377,1162.8058,7.3333,569.5445,1168.9338,0.000000
NSGA-II,3,239,13,6.0000,481.4983,1162.8058,7.2308,567.5055,1171.8724,0.000000
NSGA-II,4,339,19,6.0000,481.4983,1162.8058,7.0526,561.2595,1173.9062,0.000000
NSGA-II,5,439,30,6.0000,459.8486,1162.8058,6.8333,544.0912,1171.9566,0.000000
NSGA-II,6,539,39,6.0000,459.8486,1162.8058,6.8974,548.3841,1171.2590,0.000000
NSGA-II,7,639,43,6.0000,459.8486,1162.8058,6.8372,545.6984,1171.1140,0.000000
NSGA-II,8,739,50,5.0000,449.3687,1162.8058,6.7400,540.8619,1171.0539,0.000000
NSGA-II,9,839,56,5.0000,449.3687,1162.8058,6.5893,533.7245,1172.2918,0.000000
NSGA-II,10,939,53,5.0000,449.3687,1162.8058,6.4528,523.8639,1170.6049,0.000000
NSGA-II,11,1039,53,5.0000,449.3687,1162.8058,6.3208,514.6486,1171.3198,0.000000
NSGA-II,12,1139,59,5.0000,449.3687,1162.8058,6.3051,517.2563,1172.4517,0.000000
NSGA-II,13,1239,59,5.0000,449.3687,1162.8058,6.2373,514.6176,1172.9661,0.000000
NSGA-II,14,1339,64,5.0000,449.3687,1162.8058,6.1875,514.1201,1173.5979,0.000000
NSGA-II,15,1439,69,5.0000,447.2412,1162.8058,6.1159,510.3290,1173.1757,0.000000
NSGA-II,16,1539,73,5.0000,447.2412,1162.8058,6.0822,508.7603,1173.3630,0.000000
NSGA-II,17,1639,72,5.0000,445.8390,1162.8058,6.0417,504.1621,1170.1302,0.000000
NSGA-II,18,1739,74,5.0000,445.8390,1162.8058,6.0135,500.8499,1169.5596,0.000000
NSGA-II,19,1839,74,5.0000,445.8390,1162.8058,5.9865,496.7501,1169.2245,0.000000
NSGA-II,20,1939,73,5.0000,443.4713,1162.8058,5.9452,492.6094,1169.0509,0.000000
NSGA-II,21,2039,70,5.0000,443.4713,1162.8058,5.9143,488.7577,1169.3582,0.000000
NSGA-II,22,2139,65,5.0000,443.4713,1162.8058,5.8923,486.3079,1169.4380,0.000000
NSGA-II,23,2239,62,5.0000,443.4713,1162.8058,5.7742,480.7026,1168.6059,0.000000
NSGA-II,24,2339,61,5.0000,443.4713,1162.8058,5.7377,478.8231,1168.6551,0.000000
NSGA-II,25,2439,61,5.0000,443.4713,1162.8058,5.6885,477.0993,1168.6551,0.000000
NSGA-II,26,2539,65,5.0000,437.0246,1162.8058,5.6462,476.3899,1169.2315,0.000000
NSGA-II,27,2639,64,5.0000,437.0246,1162.8058,5.6094,475.4305,1169.7198,0.000000
NSGA-II,28,2739,66,5.0000,437.0246,1162.8058,5.6061,474.2006,1169.8447,0.000000
NSGA-II,29,2839,65,5.0000,437.0246,1162.8058,5.5846,473.1756,1169.4860,0.000000
NSGA-II,30,2939,65,5.0000,437.0246,1162.8058,5.5846,473.1756,1169.4860,0.000000
NSGA-II,31,3039,64,5.0000,437.0246,1162.8058,5.5625,472.1148,1169.5904,0.000000
NSGA-II,32,3139,66,5.0000,437.0246,1162.8058,5.5758,472.8380,1169.3848,0.000000
NSGA-II,33,3239,67,5.0000,437.0246,1162.8058,5.5821,472.0869,1169.2866,0.000000
NSGA-II,34,3339,68,5.0000,437.0246,1162.8058,5.5441,471.0144,1170.0024,0.000000
NSGA-II,35,3439,68,5.0000,437.0246,1162.8058,5.5294,469.9611,1170.0024,0.000000
NSGA-II,36,3539,71,5.0000,437.0246,1162.8058,5.4789,468.6450,1169.9397,0.000000
NSGA-II,37,3639,72,5.0000,437.0246,1162.8058,5.4583,468.2993,1170.6859,0.000000
NSGA-II,38,3739,73,5.0000,437.0246,1162.8058,5.4521,468.6136,1170.6157,0.000000
NSGA-II,39,3839,74,5.0000,437.0246,1162.8058,5.4595,468.7455,1170.5102,0.000000
NSGA-II,40,3939,72,5.0000,437.0246,1162.8058,5.4444,468.1641,1170.3412,0.000000
NSGA-II,41,4039,73,5.0000,437.0246,1162.8058,5.4384,466.6002,1170.6157,0.000000
NSGA-II,42,4139,75,5.0000,437.0246,1162.8058,5.4400,467.3307,1170.7751,0.000000
NSGA-II,43,4239,75,5.0000,437.0246,1162.8058,5.4400,467.0437,1170.7751,0.000000
NSGA-II,44,4339,74,5.0000,437.0246,1162.8058,5.4324,466.7334,1170.8056,0.000000
NSGA-II,45,4439,74,5.0000,437.0246,1162.8058,5.4324,466.4501,1170.8056,0.000000
NSGA-II,46,4539,75,5.0000,437.0246,1162.8058,5.4267,465.9780,1170.7751,0.000000
NSGA-II,47,4639,75,5.0000,437.0246,1162.8058,5.4133,465.0382,1170.7751,0.000000
NSGA-II,48,4739,75,5.0000,437.0246,1162.8058,5.4000,464.7069,1170.8513,0.000000
NSGA-II,49,4839,76,5.0000,437.0246,1162.8058,5.3816,464.5468,1171.1083,0.000000
NSGA-II,50,4939,79,5.0000,437.0246,1162.8058,5.3671,465.3058,1170.8653,0.000000
NSGA-II,51,5039,82,5.0000,437.0246,1162.8058,5.3780,464.8944,1170.9067,0.000000
NSGA-II,52,5139,88,5.0000,437.0246,1162.8058,5.3636,465.2217,1171.1422,0.000000
NSGA-II,53,5239,90,5.0000,437.0246,1162.8058,5.3556,464.4276,1171.2634,0.000000
NSGA-II,54,5339,91,5.0000,437.0246,1162.8058,5.3407,464.3373,1171.5347,0.000000
NSGA-II,55,5439,91,5.0000,437.0246,1162.8058,5.3187,463.9887,1171.5972,0.000000
NSGA-II,56,5539,91,5.0000,437.0246,1162.8058,5.3187,463.9230,1171.5972,0.000000
NSGA-II,57,5639,91,5.0000,437.0246,1162.8058,5.3187,463.7300,1171.5972,0.000000
NSGA-II,58,5739,91,5.0000,437.0246,1162.8058,5.3187,462.7981,1171.5972,0.000000
NSGA-II,59,5839,91,5.0000,437.0246,1162.8058,5.3187,462.7981,1171.5972,0.000000
NSGA-II,60,5939,91,5.0000,437.0246,1162.8058,5.3077,462.6596,1171.6600,0.000000
NSGA-II,61,6039,91,5.0000,437.0246,1162.8058,5.3187,462.3964,1170.7201,0.000000
NSGA-II,62,6139,90,5.0000,437.0246,1162.8058,5.3222,461.7819,1169.7943,0.000000
NSGA-II,63,6239,90,5.0000,437.0246,1162.8058,5.3222,461.4789,1169.7943,0.000000
NSGA-II,64,6339,90,5.0000,437.0246,1162.8058,5.3111,461.2777,1169.8252,0.000000
