algorithm,generation,n_eval,n_feasible,best_f1,best_f2,best_f3,mean_f1_feas,mean_f2_feas,mean_f3_feas,min_cv_pop
NSGA-II,1,100,1,86.0000,5336.2963,1174.5529,86.0000,5336.2963,1174.5529,0.000000
NSGA-II,2,200,3,86.0000,5336.2963,1174.5529,88.0000,5467.3459,1185.2828,0.000000
NSGA-II,3,300,7,86.0000,5336.2963,1174.5529,87.5714,5439.4214,1189.7849,0.000000
NSGA-II,4,400,11,86.0000,5336.2963,1174.5529,87.4545,5457.4771,1193.6445,0.000000
NSGA-II,5,500,21,83.0000,5216.5615,1174.5529,87.4762,5480.9621,1194.2024,0.000000
NSGA-II,6,600,28,83.0000,5216.5615,1174.5529,87.4286,5487.5704,1192.7389,0.000000
NSGA-II,7,700,39,83.0000,5216.5615,1174.5529,87.2564,5483.5367,1193.5151,0.000000
NSGA-II,8,800,51,82.0000,5216.5615,1174.5529,87.0588,5480.3223,1193.7965,0.000000
NSGA-II,9,900,63,82.0000,5216.5615,1174.5529,86.9206,5479.4316,1194.1084,0.000000
NSGA-II,10,1000,78,82.0000,5216.5615,1174.5529,86.7821,5476.7785,1193.6768,0.000000
NSGA-II,11,1100,86,81.0000,5216.5615,1174.5529,86.3140,5461.0490,1193.8607,0.000000
NSGA-II,12,1200,85,81.0000,5216.5615,1174.5529,85.8000,5438.5816,1194.4772,0.000000
NSGA-II,13,1300,86,81.0000,5216.5615,1174.5529,85.5349,5428.8006,1193.2352,0.000000
NSGA-II,14,1400,85,81.0000,5216.5615,1174.5529,85.3059,5420.7637,1193.2156,0.000000
NSGA-II,15,1500,88,79.0000,5216.5615,1174.5529,84.8523,5410.3727,1191.7739,0.000000
NSGA-II,16,1600,87,79.0000,5216.5615,1174.5529,84.2414,5392.2029,1192.1210,0.000000
NSGA-II,17,1700,87,78.0000,5216.5615,1174.5529,83.9770,5385.4704,1191.0205,0.000000
NSGA-II,18,1800,87,78.0000,5216.5615,1174.5529,83.5402,5371.5763,1190.1578,0.000000
NSGA-II,19,1900,83,78.0000,5202.4415,1174.5529,83.1687,5360.3671,1190.1074,0.000000
NSGA-II,20,2000,86,76.0000,5153.4396,1174.5529,82.4535,5345.4147,1190.3499,0.000000
NSGA-II,21,2100,90,76.0000,5153.4396,1174.5529,82.1556,5340.7635,1190.0701,0.000000
NSGA-II,22,2200,92,76.0000,5153.4396,1174.5529,81.8261,5331.4556,1189.1390,0.000000
NSGA-II,23,2300,92,75.0000,5153.4396,1174.5529,81.5870,5321.7596,1188.6033,0.000000
NSGA-II,24,2400,92,75.0000,5153.4396,1174.5529,81.0543,5308.1939,1188.1872,0.000000
NSGA-II,25,2500,91,75.0000,5077.2412,1174.5529,80.4835,5287.5038,1188.9106,0.000000
NSGA-II,26,2600,93,75.0000,5077.2412,1174.5529,80.0538,5264.0615,1187.1463,0.000000
NSGA-II,27,2700,92,75.0000,5077.2412,1174.5529,79.6087,5251.5528,1186.7405,0.000000
NSGA-II,28,2800,90,75.0000,5077.2412,1174.5529,79.2778,5241.9826,1185.8807,0.000000
NSGA-II,29,2900,90,75.0000,5077.2412,1174.5529,78.9333,5229.8956,1185.9373,0.000000
NSGA-II,30,3000,90,75.0000,4994.7882,1174.5529,78.7778,5217.2268,1185.2828,0.000000
NSGA-II,31,3100,90,75.0000,4994.7882,1174.5529,78.4667,5215.0034,1184.2031,0.000000
NSGA-II,32,3200,91,75.0000,4994.7882,1174.5529,78.3516,5209.0968,1184.4454,0.000000
NSGA-II,33,3300,88,75.0000,4994.7882,1174.5529,77.9773,5191.0267,1183.4699,0.000000
NSGA-II,34,3400,84,73.0000,4994.7882,1174.5529,77.7976,5179.9504,1182.8107,0.000000
NSGA-II,35,3500,84,72.0000,4914.1903,1174.5529,77.5476,5167.9277,1182.7955,0.000000
NSGA-II,36,3600,83,72.0000,4914.1903,1174.5529,77.2169,5163.6453,1182.6509,0.000000
NSGA-II,37,3700,82,72.0000,4914.1903,1174.5529,76.9756,5160.1726,1181.7027,0.000000
NSGA-II,38,3800,80,72.0000,4914.1903,1174.5529,76.8125,5153.7546,1181.3530,0.000000
NSGA-II,39,3900,82,72.0000,4914.1903,1174.5529,76.7927,5142.0510,1180.8581,0.000000
NSGA-II,40,4000,83,72.0000,4875.1123,1174.5529,76.5904,5128.6315,1180.4257,0.000000
NSGA-II,41,4100,84,72.0000,4818.4332,1174.5529,76.5119,5115.1616,1179.9662,0.000000
NSGA-II,42,4200,84,71.0000,4757.6546,1174.5529,75.9643,5078.7496,1179.9746,0.000000
NSGA-II,43,4300,81,71.0000,4757.6546,1174.5529,75.5926,5056.1481,1180.1535,0.000000
NSGA-II,44,4400,80,71.0000,4757.6546,1174.5529,75.2375,5038.8805,1179.1060,0.000000
NSGA-II,45,4500,79,69.0000,4725.2626,1174.5529,74.3671,5017.9157,1177.7336,0.000000
NSGA-II,46,4600,82,69.0000,4725.2626,1174.5529,74.2195,5018.5871,1177.4956,0.000000
NSGA-II,47,4700,84,69.0000,4725.2626,1174.5529,73.7619,4997.8942,1177.7328,0.000000
NSGA-II,48,4800,84,69.0000,4725.2626,1174.5529,73.2143,4976.3472,1176.1546,0.000000
NSGA-II,49,4900,85,69.0000,4725.2626,1174.5529,72.8235,4967.0629,1176.3913,0.000000
NSGA-II,50,5000,84,65.0000,4725.2626,1174.5529,72.6071,4959.6954,1176.5866,0.000000
NSGA-II,51,5100,86,65.0000,4725.2626,1174.5529,72.5116,4949.0845,1176.6638,0.000000
NSGA-II,52,5200,86,65.0000,4725.2626,1174.5529,72.2093,4947.5253,1177.1718,0.000000
NSGA-II,53,5300,85,65.0000,4725.2626,1174.5529,72.0353,4931.1367,1177.3583,0.000000
NSGA-II,54,5400,88,65.0000,4712.9092,1174.5529,71.6477,4922.2274,1177.2205,0.000000
NSGA-II,55,5500,90,65.0000,4686.9894,1174.5529,71.4444,4911.6827,1177.8356,0.000000
NSGA-II,56,5600,90,65.0000,4686.9894,1174.5529,71.1333,4908.3938,1177.7057,0.000000
NSGA-II,57,5700,86,65.0000,4686.9894,1174.5529,71.0116,4894.3524,1178.3782,0.000000
NSGA-II,58,5800,86,65.0000,4686.9894,1174.5529,70.8488,4890.5427,1178.2198,0.000000
NSGA-II,59,5900,83,65.0000,4686.9894,1174.5529,70.6627,4885.3058,1178.6295,0.000000
NSGA-II,60,6000,84,65.0000,4686.9894,1174.5529,70.1429,4879.4561,1179.0316,0.000000
NSGA-II,61,6100,87,65.0000,4686.9894,1174.5529,70.0115,4879.8007,1179.8810,0.000000
NSGA-II,62,6200,89,65.0000,4686.9894,1174.5529,69.7303,4879.1739,1181.1057,0.000000
NSGA-II,63,6300,90,65.0000,4686.9894,1174.5529,69.4222,4879.0032,1180.6461,0.000000
NSGA-II,64,6400,92,65.0000,4686.9894,1174.5529,69.1304,4884.7426,1181.8316,0.000000
NSGA-II,65,6500,93,65.0000,4686.9894,1174.5529,68.8387,4883.9661,1182.4844,0.000000
NSGA-II,66,6600,92,65.0000,4686.9894,1174.5529,68.7609,4882.6877,1182.2740,0.000000
NSGA-II,67,6700,88,65.0000,4686.9894,1174.5529,68.5568,4880.0262,1183.1751,0.000000
NSGA-II,68,6800,83,64.0000,4686.9894,1174.5529,68.1807,4878.5186,1184.5774,0.000000
NSGA-II,69,6900,87,64.0000,4686.9894,1174.5529,68.0575,4876.0590,1184.1902,0.000000
NSGA-II,70,7000,82,64.0000,4686.9894,1174.5529,67.8415,4863.6159,1184.3352,0.000000
NSGA-II,71,7100,82,64.0000,4686.9894,1174.5529,67.6829,4855.9465,1185.2293,0.000000
NSGA-II,72,7200,81,63.0000,4686.9894,1174.5529,67.5432,4852.3542,1184.6385,0.000000
NSGA-II,73,7300,81,63.0000,4686.9894,1174.5529,67.5062,4850.6937,1183.9194,0.000000
NSGA-II,74,7400,82,63.0000,4686.9894,1174.5529,67.4634,4843.5331,1183.1470,0.000000
NSGA-II,75,7500,81,63.0000,4686.9894,1174.5529,67.3210,4840.1633,1183.1535,0.000000
NSGA-II,76,7600,79,63.0000,4686.9894,1174.5529,67.1646,4836.8371,1182.2544,0.000000
NSGA-II,77,7700,79,63.0000,4686.9894,1174.5529,67.0886,4828.7208,1182.3680,0.000000
NSGA-II,78,7800,75,63.0000,4686.9894,1174.5529,66.9200,4826.2482,1182.5906,0.000000
NSGA-II,79,7900,74,63.0000,4686.9894,1174.5529,66.7568,4824.8863,1183.1424,0.000000
NSGA-II,80,8000,72,62.0000,4653.4549,1174.5529,66.4444,4823.0298,1185.5703,0.000000
NSGA-II,81,8100,71,62.0000,4653.4549,1174.5529,66.2676,4822.6628,1185.8014,0.000000
NSGA-II,82,8200,69,62.0000,4653.4549,1174.5529,66.1594,4826.0516,1186.7685,0.000000
NSGA-II,83,8300,69,62.0000,4653.4549,1174.5529,66.0725,4815.6889,1185.2753,0.000000
NSGA-II,84,8400,63,62.0000,4653.4549,1174.5529,66.0317,4805.8740,1184.0075,0.000000
NSGA-II,85,8500,61,61.0000,4653.4549,1174.5529,65.8525,4802.3297,1183.5931,0.000000
NSGA-II,86,8600,58,58.0000,4653.4549,1174.5529,65.7241,4791.8296,1182.8758,0.000000
NSGA-II,87,8700,58,58.0000,4653.4549,1174.5529,65.4483,4787.3015,1182.7038,0.000000
NSGA-II,88,8800,55,58.0000,4653.4549,1174.5529,65.2727,4786.1961,1181.0635,0.000000
NSGA-II,89,8900,52,58.0000,4653.4549,1174.5529,65.0577,4780.8676,1181.1599,0.000000
NSGA-II,90,9000,50,57.0000,4462.8540,1174.5529,64.6800,4776.0967,1181.5473,0.000000
NSGA-II,91,9100,50,57.0000,4462.8540,1174.5529,64.7400,4769.0652,1180.0488,0.000000
NSGA-II,92,9200,52,57.0000,4462.8540,1174.5529,64.6538,4765.9993,1180.3611,0.000000
NSGA-II,93,9300,52,57.0000,4462.8540,1174.5529,64.5769,4755.4130,1180.0810,0.000000
NSGA-II,94,9400,53,57.0000,4462.8540,1174.5529,64.3208,4743.1267,1180.3853,0.000000
NSGA-II,95,9500,51,57.0000,4462.8540,1174.5529,64.0784,4742.3111,1179.9174,0.000000
NSGA-II,96,9600,51,57.0000,4462.8540,1174.5529,64.0196,4739.6417,1179.5076,0.000000
NSGA-II,97,9700,54,55.0000,4403.9472,1174.5529,63.7778,4731.8516,1180.2169,0.000000
NSGA-II,98,9800,55,55.0000,4403.9472,1174.5529,63.4364,4733.7463,1180.5225,0.000000
NSGA-II,99,9900,56,55.0000,4403.9472,1174.5529,62.9821,4729.5529,1181.0205,0.000000
NSGA-II,100,10000,59,55.0000,4403.9472,1174.5529,62.8305,4722.7481,1181.7055,0.000000
MOEA/D,1,105,0,,,,,,,0.137940
MOEA/D,2,210,0,,,,,,,0.052884
MOEA/D,3,315,0,,,,,,,0.052884
MOEA/D,4,420,65,82.0000,5245.9743,1174.5529,83.7692,5270.5543,1182.8454,0.000000
MOEA/D,5,525,101,82.0000,5216.8241,1174.5529,82.9109,5251.2208,1174.5529,0.000000
MOEA/D,6,630,105,81.0000,5194.8771,1174.5529,82.8000,5230.5410,1174.5529,0.000000
MOEA/D,7,735,105,81.0000,5191.0127,1174.5529,82.3905,5217.3897,1174.5529,0.000000
