n_workers,seed,elapsed_s,ms_per_eval,n_feasible,n_total
1,1,6.3119,1.2624,100,100
1,2,6.1345,1.2269,100,100
1,3,6.1504,1.2301,100,100
1,4,6.1736,1.2347,100,100
1,5,6.0699,1.214,100,100
1,6,6.2783,1.2557,100,100
1,7,6.193,1.2386,100,100
1,8,6.2117,1.2423,100,100
1,9,6.1764,1.2353,100,100
1,10,6.1597,1.2319,100,100
1,11,6.2559,1.2512,100,100
1,12,6.3398,1.268,100,100
1,13,6.1801,1.236,100,100
1,14,6.2582,1.2516,100,100
1,15,6.2502,1.25,100,100
1,16,6.1738,1.2348,100,100
1,17,6.1791,1.2358,100,100
1,18,6.1881,1.2376,100,100
1,19,6.156,1.2312,100,100
1,20,6.2953,1.2591,99,100
2,2,6.1101,1.222,100,100
2,1,6.2031,1.2406,100,100
2,4,6.191,1.2382,100,100
2,3,6.3088,1.2618,100,100
2,5,6.1804,1.2361,100,100
2,6,6.2413,1.2483,100,100
2,7,6.1973,1.2395,100,100
2,8,6.1612,1.2322,100,100
2,9,6.1791,1.2358,100,100
2,10,6.1432,1.2286,100,100
2,11,6.1714,1.2343,100,100
2,12,6.1636,1.2327,100,100
2,13,6.1473,1.2295,100,100
2,14,6.2039,1.2408,100,100
2,15,6.2477,1.2495,100,100
2,16,6.1883,1.2377,100,100
2,17,6.1812,1.2362,100,100
2,18,6.2591,1.2518,100,100
2,19,6.1424,1.2285,100,100
2,20,6.1813,1.2363,100,100
4,1,6.264,1.2528,100,100
4,2,6.326,1.2652,100,100
4,3,6.3909,1.2782,100,100
4,4,6.4021,1.2804,100,100
4,5,6.4744,1.2949,100,100
4,8,6.3664,1.2733,100,100
4,6,6.467,1.2934,100,100
4,7,6.5736,1.3147,100,100
4,10,6.7558,1.3512,100,100
4,9,6.8164,1.3633,100,100
4,11,7.0223,1.4045,100,100
4,12,6.9374,1.3875,100,100
4,13,6.8229,1.3646,100,100
4,14,6.9178,1.3836,100,100
4,16,6.8727,1.3745,100,100
4,15,7.0181,1.4036,100,100
4,17,6.87,1.374,100,100
4,18,6.9532,1.3906,100,100
4,19,6.8508,1.3702,100,100
4,20,6.831,1.3662,100,100
5,3,7.2794,1.4559,100,100
5,1,7.2989,1.4598,100,100
5,2,7.2972,1.4594,100,100
5,5,7.3295,1.4659,100,100
5,4,7.4476,1.4895,100,100
5,8,7.3259,1.4652,100,100
5,7,7.3291,1.4658,100,100
5,9,7.3921,1.4784,100,100
5,6,7.5512,1.5102,100,100
5,10,7.5422,1.5084,100,100
5,12,7.2525,1.4505,100,100
