n_workers,wall_s,n_completed,throughput_rps,speedup,efficiency_pct,elapsed_mean_s,elapsed_std_s,ms_per_eval_mean,feasible_mean
1,124.355,20,0.16083,1.0,100.0,6.207,0.065,1.2414,99.95
2,62.167,20,0.321712,2.0003,100.02,6.19,0.045,1.238,100.0
4,33.875,20,0.590402,3.671,91.77,6.697,0.25,1.3393,100.0
5,29.82,20,0.670694,4.1702,83.4,7.359,0.084,1.4719,99.9
6,29.911,20,0.668648,4.1575,69.29,7.666,0.482,1.5333,100.0
8,24.081,20,0.830528,5.164,64.55,8.145,0.63,1.6291,99.9
10,19.041,20,1.050376,6.531,65.31,9.31,0.08,1.8619,99.95
12,19.403,20,1.030764,6.409,53.41,11.238,3.802,2.2477,100.0
15,19.868,20,1.00665,6.2591,41.73,14.386,4.832,2.8772,99.95
20,20.59,20,0.971361,6.0397,30.2,19.912,0.142,3.9825,100.0
