algorithm_id,instance,run_idx,seed,n_evals_budget,n_evals_actual,n_feasible,n_pareto,hv_quick,igd_plus_quick,best_f1,best_f2,best_f3,n_f1_layers,elapsed_seconds,timestamp_start,timestamp_end,status,pickle_path,git_commit
moead_ws,c208_21,2,3965537421,5000,5040,105,105,95660643.352919,,7.0,2864.8134,20685.6846,4,11.581,2026-04-23T22:30:51,2026-04-23T22:31:02,ok,pickles\moead_ws\c208_21\run02.pkl,ee61198
nsga2,c108_21,18,4038600212,850000,850080,105,105,37459894.872811,,13.0,1625.8394,488.4555,6,1791.465,2026-04-23T22:32:02,2026-04-23T23:01:54,ok,pickles\nsga2\c108_21\run18.pkl,ee61198
nsga2,c108_21,7,987210054,850000,850080,105,105,35193866.940061,,13.0,1569.8724,334.6133,6,1799.676,2026-04-23T22:32:02,2026-04-23T23:02:02,ok,pickles\nsga2\c108_21\run07.pkl,ee61198
nsga2,c109_21,8,4237404381,850000,850080,105,105,62561573.055163,,13.0,1547.1346,45.0425,7,1900.179,2026-04-23T22:32:02,2026-04-23T23:03:43,ok,pickles\nsga2\c109_21\run08.pkl,ee61198
moead_ws,c108_21,30,1495793595,850000,850080,105,105,301107098.092966,,16.0,1677.5635,1616.8676,8,2158.623,2026-04-23T22:32:05,2026-04-23T23:08:04,ok,pickles\moead_ws\c108_21\run30.pkl,ee61198
moead_ws,c108_21,23,1871803177,850000,850080,105,105,134025856.824946,,15.0,1665.6684,5.7886,5,2158.694,2026-04-23T22:32:06,2026-04-23T23:08:04,ok,pickles\moead_ws\c108_21\run23.pkl,ee61198
moead_ws,c109_21,6,2273912548,850000,850080,105,103,233864694.924778,,14.0,1672.7151,102.0929,6,2247.166,2026-04-23T22:32:05,2026-04-23T23:09:33,ok,pickles\moead_ws\c109_21\run06.pkl,ee61198
nsga2,c208_21,12,4196272467,850000,850080,105,105,30373279.468221,,4.0,1070.2078,0.0,4,3152.753,2026-04-23T22:32:02,2026-04-23T23:24:35,ok,pickles\nsga2\c208_21\run12.pkl,ee61198
smsemoa,c208_21,19,86102164,850000,850080,105,40,2763496.078246,,4.0,833.37,0.0,2,3362.427,2026-04-23T22:32:02,2026-04-23T23:28:05,ok,pickles\smsemoa\c208_21\run19.pkl,ee61198
smsemoa,c108_21,19,3301886053,850000,850080,105,105,65009370.747781,,13.0,1657.2528,175.8837,9,1839.873,2026-04-23T23:08:04,2026-04-23T23:38:44,ok,pickles\smsemoa\c108_21\run19.pkl,ee61198
moead_ws,c108_21,13,3619284909,850000,850080,105,100,89312216.17507,,13.0,1777.5991,938.1172,6,2211.986,2026-04-23T23:02:04,2026-04-23T23:38:56,ok,pickles\moead_ws\c108_21\run13.pkl,ee61198
nsga2,c109_21,10,1302853696,850000,850080,105,105,75696538.222164,,12.0,1699.3535,112.7383,8,1914.279,2026-04-23T23:09:33,2026-04-23T23:41:27,ok,pickles\nsga2\c109_21\run10.pkl,ee61198
smsemoa,c208_21,29,4278035430,850000,850080,105,105,31913693.174352,,4.0,918.9056,0.0,4,3181.852,2026-04-23T23:03:43,2026-04-23T23:56:45,ok,pickles\smsemoa\c208_21\run29.pkl,ee61198
moead_ws,c208_21,28,1288965157,850000,850080,105,105,307276487.233334,,5.0,1228.0581,1697.7144,4,3322.696,2026-04-23T23:01:56,2026-04-23T23:57:19,ok,pickles\moead_ws\c208_21\run28.pkl,ee61198
smsemoa,c208_21,10,3800093358,850000,850080,105,105,32407419.366075,,4.0,982.2704,0.0,4,3092.844,2026-04-23T23:08:04,2026-04-23T23:59:37,ok,pickles\smsemoa\c208_21\run10.pkl,ee61198
moead_ws,c108_21,16,1816280476,850000,850080,105,90,97518654.193647,,15.0,1641.915,215.8842,5,2198.05,2026-04-23T23:24:37,2026-04-24T00:01:15,ok,pickles\moead_ws\c108_21\run16.pkl,ee61198
moead_ws,c108_21,3,304681499,850000,850080,105,98,123324180.055874,,14.0,1541.376,839.4138,6,2203.826,2026-04-23T23:28:07,2026-04-24T00:04:51,ok,pickles\moead_ws\c108_21\run03.pkl,ee61198
nsga2,c108_21,13,3750429224,850000,850080,105,105,121754944.853855,,13.0,1722.2666,82.5075,10,1785.656,2026-04-23T23:38:56,2026-04-24T00:08:42,ok,pickles\nsga2\c108_21\run13.pkl,ee61198
smsemoa,c109_21,19,2036485252,850000,850080,105,105,27585939.752196,,12.0,1527.8746,91.4419,7,1905.46,2026-04-23T23:41:27,2026-04-24T00:13:13,ok,pickles\smsemoa\c109_21\run19.pkl,ee61198
moead_ws,c208_21,19,2926173857,850000,850080,105,94,259884788.457585,,5.0,1029.926,805.2193,3,3470.517,2026-04-23T23:38:46,2026-04-24T00:36:37,ok,pickles\moead_ws\c208_21\run19.pkl,ee61198
smsemoa,c109_21,14,3207583705,850000,850080,105,105,27882222.515223,,12.0,1586.45,231.3012,7,1918.372,2026-04-24T00:04:51,2026-04-24T00:36:50,ok,pickles\smsemoa\c109_21\run14.pkl,ee61198
moead_ws,c109_21,8,3170939237,850000,850080,105,95,68393711.97818,,13.0,1567.651,1117.8531,5,2326.791,2026-04-23T23:59:39,2026-04-24T00:38:26,ok,pickles\moead_ws\c109_21\run08.pkl,ee61198
moead_ws,c109_21,19,4226573563,850000,850080,105,91,164127041.572432,,14.0,1712.9883,181.5376,7,2253.426,2026-04-24T00:01:17,2026-04-24T00:38:50,ok,pickles\moead_ws\c109_21\run19.pkl,ee61198
smsemoa,c108_21,9,2257643132,850000,850080,105,105,77463114.438447,,13.0,1588.054,186.8882,9,1856.954,2026-04-24T00:13:13,2026-04-24T00:44:10,ok,pickles\smsemoa\c108_21\run09.pkl,ee61198
smsemoa,c208_21,8,4262243057,850000,850080,105,105,26774100.778732,,4.0,1100.688,794.8444,4,3201.032,2026-04-23T23:56:45,2026-04-24T00:50:06,ok,pickles\smsemoa\c208_21\run08.pkl,ee61198
smsemoa,c208_21,14,1184336611,850000,850080,105,105,23061666.979562,,4.0,960.4373,0.0,4,3325.924,2026-04-23T23:57:19,2026-04-24T00:52:45,ok,pickles\smsemoa\c208_21\run14.pkl,ee61198
smsemoa,c208_21,15,2485674771,850000,850080,105,105,65643483.528247,,4.0,1087.934,0.0,4,3066.476,2026-04-24T00:08:42,2026-04-24T00:59:49,ok,pickles\smsemoa\c208_21\run15.pkl,ee61198
smsemoa,c108_21,18,3673720113,850000,850080,105,105,71879543.576621,,12.0,1658.1098,235.211,8,1845.394,2026-04-24T00:36:37,2026-04-24T01:07:22,ok,pickles\smsemoa\c108_21\run18.pkl,ee61198
smsemoa,c108_21,27,643030665,850000,850080,105,105,46809087.903128,,12.0,1592.0753,64.7536,8,1837.3,2026-04-24T00:44:10,2026-04-24T01:14:48,ok,pickles\smsemoa\c108_21\run27.pkl,ee61198
moead_ws,c108_21,28,3502070128,850000,850080,105,97,132366012.441798,,14.0,1790.9481,189.014,6,2207.634,2026-04-24T00:38:52,2026-04-24T01:15:40,ok,pickles\moead_ws\c108_21\run28.pkl,ee61198
smsemoa,c109_21,26,1449965316,850000,850080,105,105,38153529.573608,,13.0,1509.293,430.4371,6,1967.472,2026-04-24T00:50:06,2026-04-24T01:22:54,ok,pickles\smsemoa\c109_21\run26.pkl,ee61198
smsemoa,c109_21,11,3633814982,850000,850080,105,105,16989250.449662,,12.0,1398.8106,26.784,5,1944.112,2026-04-24T00:52:45,2026-04-24T01:25:09,ok,pickles\smsemoa\c109_21\run11.pkl,ee61198
nsga2,c108_21,10,572295729,850000,850080,105,105,69610227.89531,,13.0,1591.5984,78.2374,7,1772.986,2026-04-24T00:59:49,2026-04-24T01:29:22,ok,pickles\nsga2\c108_21\run10.pkl,ee61198
nsga2,c208_21,6,3665364821,850000,850080,105,105,58481132.20244,,4.0,1124.9642,2.8936,4,3250.779,2026-04-24T00:38:26,2026-04-24T01:32:37,ok,pickles\nsga2\c208_21\run06.pkl,ee61198
moead_ws,c208_21,26,1428736958,850000,850080,105,97,75416057.31457,,5.0,989.3211,2242.0417,4,3711.581,2026-04-24T00:36:51,2026-04-24T01:38:43,ok,pickles\moead_ws\c208_21\run26.pkl,ee61198
nsga2,c109_21,24,1664756499,850000,850080,105,105,58196097.499933,,12.0,1634.9132,201.6867,7,1887.16,2026-04-24T01:07:22,2026-04-24T01:38:50,ok,pickles\nsga2\c109_21\run24.pkl,ee61198
