algorithm_id,instance,run_idx,hv,igd_plus,spacing,spread,n_pareto,n_f1_layers,status
moead_ws,c102_21,1,704991993.73115,922.495251,2.868983,21028.1453,100,6,ok
moead_ws,c102_21,2,893347018.595158,638.170063,9.156038,32624.1456,97,7,ok
moead_ws,c102_21,3,904068219.645386,619.763586,3.837171,15771.8618,104,7,ok
moead_ws,c102_21,4,945697912.334206,800.523471,4.407017,15087.2572,101,9,ok
moead_ws,c102_21,5,764894901.703008,872.03654,2.728193,18822.4054,99,5,ok
moead_ws,c102_21,6,889658476.26326,1176.728403,3.865731,20697.5043,95,7,ok
moead_ws,c102_21,7,754021847.126678,821.828672,8.872822,26635.9288,97,6,ok
moead_ws,c102_21,8,900634062.367409,995.498378,4.767411,20546.4063,103,8,ok
moead_ws,c102_21,9,879132921.113043,1046.010241,6.090525,23595.5427,93,7,ok
moead_ws,c102_21,10,842798643.07734,1030.512441,7.915842,25110.3188,99,8,ok
moead_ws,c102_21,11,888411216.511511,705.299016,3.3649,21146.079,90,10,ok
moead_ws,c102_21,12,860201511.116053,719.904644,8.415143,29161.6001,102,6,ok
moead_ws,c102_21,13,863020713.850017,814.48978,9.294991,31826.6287,101,7,ok
moead_ws,c102_21,14,948987192.310022,556.147533,6.439711,21489.6459,100,6,ok
moead_ws,c102_21,15,923352649.066941,842.824598,2.822772,19052.6358,102,6,ok
moead_ws,c102_21,16,924564705.454163,720.91588,3.374689,18887.4655,100,8,ok
moead_ws,c102_21,17,666092022.884043,968.002713,2.982056,23194.2004,100,6,ok
moead_ws,c102_21,18,884819123.077175,772.291632,5.121915,22433.2395,100,8,ok
moead_ws,c102_21,19,895582700.285308,623.455106,6.531857,20358.0904,101,4,ok
moead_ws,c102_21,20,739957590.89593,826.105347,4.553998,20829.7579,88,10,ok
moead_ws,c102_21,21,1132214192.754386,430.150929,6.989006,15849.1475,94,5,ok
moead_ws,c102_21,22,722811224.958786,1044.645849,6.626573,26168.1519,103,10,ok
moead_ws,c102_21,23,877707940.407856,704.459012,7.220102,18863.2871,97,5,ok
moead_ws,c102_21,24,730097641.569854,848.839805,5.42009,23466.9846,101,10,ok
moead_ws,c102_21,25,914939178.206102,759.167399,6.647901,23468.6592,98,7,ok
moead_ws,c102_21,26,703155593.252335,977.390624,8.776086,36152.992,91,8,ok
moead_ws,c102_21,27,822023275.008288,649.618708,2.68705,23807.0452,100,6,ok
moead_ws,c102_21,28,1015482361.177667,544.395359,3.14874,16132.1857,98,6,ok
moead_ws,c102_21,29,840565873.229395,760.407613,5.030477,20580.3716,93,9,ok
moead_ws,c102_21,30,807999735.709491,727.95661,3.556726,19250.907,91,5,ok
nsga2,c102_21,1,1321473408.571907,386.184744,0.557235,10296.5967,105,6,ok
nsga2,c102_21,2,1565505523.188002,134.617886,0.699026,12550.0613,105,9,ok
nsga2,c102_21,3,1370637673.563673,412.543681,0.6515,18498.2164,105,10,ok
nsga2,c102_21,4,1271157136.672018,375.542015,0.687592,12764.971,105,10,ok
nsga2,c102_21,5,1441498142.617266,275.437675,0.879743,14381.1613,105,9,ok
nsga2,c102_21,6,1432554167.453975,250.986125,0.654319,12392.8162,105,11,ok
nsga2,c102_21,7,1267494732.639088,519.264128,0.592109,12459.419,105,10,ok
nsga2,c102_21,8,1338230132.087684,397.269235,0.669043,16976.7261,105,9,ok
nsga2,c102_21,9,1311629376.922149,363.283222,0.593803,10264.334,105,10,ok
nsga2,c102_21,10,1421481761.011054,344.283037,0.610073,15173.9681,105,11,ok
nsga2,c102_21,11,1380425717.87519,391.373147,0.736549,14252.9204,105,13,ok
nsga2,c102_21,12,1349486124.365081,332.508642,0.918615,12226.124,105,11,ok
nsga2,c102_21,13,1334725923.884066,300.250421,0.586516,7984.2277,105,10,ok
nsga2,c102_21,14,1333802552.928988,326.60281,1.066657,10722.8488,105,8,ok
nsga2,c102_21,15,1463604218.496922,229.211662,0.528455,10513.6662,105,9,ok
nsga2,c102_21,16,1457703419.106822,302.670613,0.604038,12391.9478,105,11,ok
nsga2,c102_21,17,1345073708.557024,353.054952,0.649479,10664.2608,105,10,ok
nsga2,c102_21,18,1123524409.402901,529.151275,0.712214,17229.6032,105,13,ok
nsga2,c102_21,19,1314888634.010787,613.249669,0.702083,16025.6477,105,11,ok
nsga2,c102_21,20,1118965163.425558,526.041699,0.63085,12248.857,105,11,ok
nsga2,c102_21,21,1155544523.815334,475.497538,0.524053,9289.6242,105,8,ok
nsga2,c102_21,22,1555400993.407292,114.268705,0.64293,11048.426,105,9,ok
