instance,subgroup,algorithm_id,med_n_f1_layers,std_n_f1_layers,med_n_pareto,std_n_pareto
c102_21,C1,nsga2,10.0,1.57,105.0,0.0
c102_21,C1,smsemoa,10.0,1.28,105.0,0.0
c102_21,C1,moead_ws,7.0,1.65,99.5,4.16
c103_21,C1,nsga2,8.5,1.33,105.0,0.0
c103_21,C1,smsemoa,8.0,1.43,105.0,0.18
c103_21,C1,moead_ws,7.0,1.25,98.0,4.5
c104_21,C1,nsga2,6.0,1.11,105.0,0.0
c104_21,C1,smsemoa,5.0,1.06,105.0,1.74
c104_21,C1,moead_ws,4.0,0.92,93.0,6.55
c105_21,C1,nsga2,10.0,1.67,105.0,0.0
c105_21,C1,smsemoa,9.0,1.5,105.0,0.0
c105_21,C1,moead_ws,7.0,1.14,101.0,4.92
c106_21,C1,nsga2,9.0,1.28,105.0,0.54
c106_21,C1,smsemoa,8.0,1.2,105.0,0.0
c106_21,C1,moead_ws,6.0,1.81,102.0,4.14
c107_21,C1,nsga2,8.0,1.19,105.0,0.0
c107_21,C1,smsemoa,8.0,1.03,105.0,0.0
c107_21,C1,moead_ws,6.5,1.68,101.0,3.85
c108_21,C1,nsga2,8.0,1.15,105.0,0.0
c108_21,C1,smsemoa,7.5,1.31,105.0,0.0
c108_21,C1,moead_ws,6.0,1.18,100.5,4.55
c109_21,C1,nsga2,7.0,1.04,105.0,0.0
c109_21,C1,smsemoa,6.0,0.82,105.0,0.54
c109_21,C1,moead_ws,5.0,1.48,97.5,5.18
c202_21,C2,nsga2,5.0,0.98,105.0,0.0
c202_21,C2,smsemoa,5.0,0.76,105.0,0.72
c202_21,C2,moead_ws,4.0,1.11,99.0,5.12
c203_21,C2,nsga2,4.0,0.97,105.0,5.51
c203_21,C2,smsemoa,4.0,0.77,105.0,0.56
c203_21,C2,moead_ws,4.0,0.93,96.0,6.23
c204_21,C2,nsga2,3.0,0.68,105.0,16.32
c204_21,C2,smsemoa,3.0,0.72,105.0,21.54
c204_21,C2,moead_ws,3.0,0.69,91.5,7.34
c205_21,C2,nsga2,4.0,1.08,105.0,0.0
c205_21,C2,smsemoa,4.0,0.79,105.0,7.35
c205_21,C2,moead_ws,3.0,0.72,102.0,4.45
c206_21,C2,nsga2,4.0,1.0,105.0,12.39
c206_21,C2,smsemoa,4.0,0.75,105.0,3.99
