subgroup,metric,n_instances,pair,rank_a,rank_b,rank_diff,cd,nemenyi_sig,friedman_stat,friedman_p,wilcoxon_p,wilcoxon_sig
C1,hv,8,nsga2_vs_smsemoa,1.875,1.125,0.75,1.1715,False,14.25,0.000805,0.015625,True
C1,hv,8,nsga2_vs_moead_ws,1.875,3.0,1.125,1.1715,False,14.25,0.000805,0.007812,True
C1,hv,8,smsemoa_vs_moead_ws,1.125,3.0,1.875,1.1715,True,14.25,0.000805,0.007812,True
C1,igd_plus,8,nsga2_vs_smsemoa,1.875,1.125,0.75,1.1715,False,14.25,0.000805,0.039062,True
C1,igd_plus,8,nsga2_vs_moead_ws,1.875,3.0,1.125,1.1715,False,14.25,0.000805,0.007812,True
C1,igd_plus,8,smsemoa_vs_moead_ws,1.125,3.0,1.875,1.1715,True,14.25,0.000805,0.007812,True
C2,hv,7,nsga2_vs_smsemoa,1.5714,1.4286,0.1429,1.2524,False,10.5714,0.005063,0.375,False
C2,hv,7,nsga2_vs_moead_ws,1.5714,3.0,1.4286,1.2524,True,10.5714,0.005063,0.015625,True
C2,hv,7,smsemoa_vs_moead_ws,1.4286,3.0,1.5714,1.2524,True,10.5714,0.005063,0.015625,True
C2,igd_plus,7,nsga2_vs_smsemoa,2.0,1.0,1.0,1.2524,False,14.0,0.000912,0.015625,True
C2,igd_plus,7,nsga2_vs_moead_ws,2.0,3.0,1.0,1.2524,False,14.0,0.000912,0.015625,True
C2,igd_plus,7,smsemoa_vs_moead_ws,1.0,3.0,2.0,1.2524,True,14.0,0.000912,0.015625,True
R1,hv,11,nsga2_vs_smsemoa,1.6364,1.3636,0.2727,0.9991,False,16.9091,0.000213,0.898438,False
R1,hv,11,nsga2_vs_moead_ws,1.6364,3.0,1.3636,0.9991,True,16.9091,0.000213,0.000977,True
R1,hv,11,smsemoa_vs_moead_ws,1.3636,3.0,1.6364,0.9991,True,16.9091,0.000213,0.000977,True
R1,igd_plus,11,nsga2_vs_smsemoa,1.5455,1.4545,0.0909,0.9991,False,16.5455,0.000255,0.320312,False
R1,igd_plus,11,nsga2_vs_moead_ws,1.5455,3.0,1.4545,0.9991,True,16.5455,0.000255,0.000977,True
R1,igd_plus,11,smsemoa_vs_moead_ws,1.4545,3.0,1.5455,0.9991,True,16.5455,0.000255,0.000977,True
R2,hv,10,nsga2_vs_smsemoa,1.9,1.1,0.8,1.0478,False,18.2,0.000112,0.027344,True
R2,hv,10,nsga2_vs_moead_ws,1.9,3.0,1.1,1.0478,True,18.2,0.000112,0.001953,True
R2,hv,10,smsemoa_vs_moead_ws,1.1,3.0,1.9,1.0478,True,18.2,0.000112,0.001953,True
R2,igd_plus,10,nsga2_vs_smsemoa,2.0,1.0,1.0,1.0478,False,20.0,4.5e-05,0.001953,True
R2,igd_plus,10,nsga2_vs_moead_ws,2.0,3.0,1.0,1.0478,False,20.0,4.5e-05,0.001953,True
R2,igd_plus,10,smsemoa_vs_moead_ws,1.0,3.0,2.0,1.0478,True,20.0,4.5e-05,0.001953,True
RC1,hv,7,nsga2_vs_smsemoa,1.5714,1.4286,0.1429,1.2524,False,10.5714,0.005063,0.296875,False
RC1,hv,7,nsga2_vs_moead_ws,1.5714,3.0,1.4286,1.2524,True,10.5714,0.005063,0.015625,True
RC1,hv,7,smsemoa_vs_moead_ws,1.4286,3.0,1.5714,1.2524,True,10.5714,0.005063,0.015625,True
RC1,igd_plus,7,nsga2_vs_smsemoa,1.7143,1.2857,0.4286,1.2524,False,11.1429,0.003805,0.109375,False
RC1,igd_plus,7,nsga2_vs_moead_ws,1.7143,3.0,1.2857,1.2524,True,11.1429,0.003805,0.015625,True
RC1,igd_plus,7,smsemoa_vs_moead_ws,1.2857,3.0,1.7143,1.2524,True,11.1429,0.003805,0.015625,True
RC2,hv,7,nsga2_vs_smsemoa,2.0,1.0,1.0,1.2524,False,14.0,0.000912,0.015625,True
RC2,hv,7,nsga2_vs_moead_ws,2.0,3.0,1.0,1.2524,False,14.0,0.000912,0.015625,True
RC2,hv,7,smsemoa_vs_moead_ws,1.0,3.0,2.0,1.2524,True,14.0,0.000912,0.015625,True
RC2,igd_plus,7,nsga2_vs_smsemoa,2.0,1.0,1.0,1.2524,False,14.0,0.000912,0.015625,True
RC2,igd_plus,7,nsga2_vs_moead_ws,2.0,3.0,1.0,1.2524,False,14.0,0.000912,0.015625,True
RC2,igd_plus,7,smsemoa_vs_moead_ws,1.0,3.0,2.0,1.2524,True,14.0,0.000912,0.015625,True
