run,seed,config,n_neighbors,prob_neighbor_mating,actual_evals,hv,n_unique_obj,n_unique_obj_feasible,elapsed_s
1,1,A,20,0.7,9975,581860.3457945383,3,3,35.36
1,1,B,10,0.9,9975,725387.1406407688,8,8,36.14
1,1,C,20,0.9,9975,781491.6332753409,3,3,35.63
1,1,D,10,0.7,9975,589724.4657469717,4,4,36.55
2,2,A,20,0.7,9975,781133.723526928,6,6,34.48
2,2,B,10,0.9,9975,581860.3457945382,2,2,34.19
2,2,C,20,0.9,9975,603032.5977961728,3,3,33.59
2,2,D,10,0.7,9975,748484.2071775164,10,10,36.52
3,3,A,20,0.7,9975,589724.4657469714,2,2,35.92
3,3,B,10,0.9,9975,781491.6332753409,6,6,35.87
3,3,C,20,0.9,9975,735176.0751283152,6,6,37.97
3,3,D,10,0.7,9975,735176.0751283149,4,4,36.51
4,4,A,20,0.7,9975,581860.3457945383,3,3,33.47
4,4,B,10,0.9,9975,735176.075128315,6,6,32.31
4,4,C,20,0.9,9975,727396.4415982615,3,3,38.38
4,4,D,10,0.7,9975,581860.3457945383,3,3,36.43
5,5,A,20,0.7,9975,581733.174363512,3,3,31.79
5,5,B,10,0.9,9975,781491.6332753408,5,5,38.44
5,5,C,20,0.9,9975,596895.7274714835,2,2,37.09
5,5,D,10,0.7,9975,735176.0751283151,6,6,37.12
