idx,f1_real,f2_real,f3_real,cv,feasible,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
0,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
1,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
2,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
3,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
4,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
5,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
6,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
7,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
8,6.0,456.8171516190689,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,2,7
9,6.0,456.8171516190689,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,2,7
10,6.0,456.8171516190689,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,2,7
11,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,0,8,6,7,2
12,6.0,460.43820671204855,1162.8058436014987,0.0,1,1,9,4,5,0,8,6,2,3,7
13,6.0,460.43820671204855,1162.8058436014987,0.0,1,1,9,4,5,0,8,6,2,3,7
14,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
15,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
16,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
17,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
18,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
19,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
20,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
21,6.0,456.8171516190689,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,2,7
22,6.0,456.8171516190689,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,2,7
23,6.0,456.8171516190689,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,2,7
24,6.0,460.43820671204855,1162.8058436014987,0.0,1,1,9,4,5,0,8,6,2,3,7
25,6.0,460.43820671204855,1162.8058436014987,0.0,1,1,9,4,5,0,8,6,2,3,7
26,6.0,460.43820671204855,1162.8058436014987,0.0,1,1,9,4,5,0,8,6,2,3,7
27,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
28,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
29,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
30,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
31,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
32,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
33,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
34,6.0,456.8171516190689,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,2,7
35,6.0,456.8171516190689,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,2,7
36,6.0,456.8171516190689,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,2,7
37,6.0,460.43820671204855,1162.8058436014987,0.0,1,1,9,4,5,0,8,6,2,3,7
38,6.0,460.43820671204855,1162.8058436014987,0.0,1,1,9,4,5,0,8,6,2,3,7
