config_id,config_label,instance,n_neighbors,prob,decomp,hv_median,hv_iqr,hv_mean,unique_median,best_f1_med,best_f3_med,elapsed_med,n_runs,global_rank_mean
C1,canônica,c101_21,20,0.9,tchebycheff,244524634.846623,58449726.558178,253217867.306239,21.5,30.0,5065.242391,753.941,4,8.25
C2,n_neigh=15,c101_21,15,0.9,tchebycheff,202562576.820311,34545773.22911,214720507.865321,23.0,31.5,4240.43106,769.915,4,8.25
C3,n_neigh=10,c101_21,10,0.9,tchebycheff,246631662.174021,88222810.661948,237367412.574462,28.5,31.0,4411.107292,755.4645,4,6.75
C4,n_neigh=5,c101_21,5,0.9,tchebycheff,247439133.150028,35281090.191094,271939014.722099,44.0,30.0,3313.990874,760.801,4,7.5
C5,n_neigh=3,c101_21,3,0.9,tchebycheff,255659761.331273,27567009.783475,264965504.380272,56.5,30.5,3269.834368,771.1935,4,7.75
C6,prob=0.7,c101_21,10,0.7,tchebycheff,306785522.730342,161723056.894575,302081926.443222,24.5,30.0,4510.470117,748.0385,4,8.0
C7,prob=0.5,c101_21,10,0.5,tchebycheff,287285793.748278,217806791.091503,277427451.285486,22.5,30.0,4310.912695,771.3705,4,6.0
C8,PBI(5),c101_21,10,0.9,pbi,315459459.543111,78321525.106552,321220364.913736,29.0,29.5,3355.069079,761.7745,4,5.25
C9,WeightedSum,c101_21,10,0.9,weighted-sum,1221643789.551791,243423113.259598,1268249808.49845,35.5,17.5,4524.433212,756.902,4,1.5
C10,n5+p0.7+PBI,c101_21,5,0.7,pbi,228058643.270864,96925071.949102,235620276.816801,44.0,31.5,3092.796332,762.841,4,10.0
C11,n5+WS,c101_21,5,0.9,weighted-sum,1308905527.143511,36550452.446508,1315258211.767333,48.5,18.0,3725.853564,736.132,4,1.5
C12,extremo(n3+p0.5+PBI),c101_21,3,0.5,pbi,259611640.996882,24785957.760722,264884404.940581,55.0,30.5,3677.023164,764.719,4,7.25
C1,canônica,c208_21,20,0.9,tchebycheff,366272768.884411,76137108.547249,353909642.531802,28.0,10.0,7600.563442,1233.257,4,8.25
C2,n_neigh=15,c208_21,15,0.9,tchebycheff,265687043.393493,241109172.791077,267418893.603961,30.5,10.5,5335.621982,1177.3615,4,8.25
C3,n_neigh=10,c208_21,10,0.9,tchebycheff,367314912.127882,285866168.994324,365370338.861045,39.5,10.0,3226.974099,1169.102,4,6.75
C4,n_neigh=5,c208_21,5,0.9,tchebycheff,240891166.266409,97990993.354946,217397481.740358,51.5,11.0,1816.12837,1105.797,4,7.5
C5,n_neigh=3,c208_21,3,0.9,tchebycheff,178908690.620385,58786262.931468,167588961.970723,60.5,11.0,1388.757247,1101.4915,4,7.75
C6,prob=0.7,c208_21,10,0.7,tchebycheff,203371958.319048,130386130.878105,204595352.199985,37.0,11.5,4034.359475,1137.32,4,8.0
C7,prob=0.5,c208_21,10,0.5,tchebycheff,232776808.773819,105940775.600355,261765700.421893,37.0,11.0,4288.545329,1149.5285,4,6.0
C8,PBI(5),c208_21,10,0.9,pbi,220778923.572832,49554028.742406,238805484.762484,36.5,11.0,3166.427354,1176.116,4,5.25
C9,WeightedSum,c208_21,10,0.9,weighted-sum,1234591000.812541,329664993.583661,1290780598.009455,36.0,6.0,2832.76264,1136.3225,4,1.5
C10,n5+p0.7+PBI,c208_21,5,0.7,pbi,232581903.934785,42107318.102728,261389411.773381,53.0,11.0,2016.36104,1123.541,4,10.0
C11,n5+WS,c208_21,5,0.9,weighted-sum,1149596939.171807,125638774.632725,1172715562.483022,52.0,6.0,1825.836435,1096.3085,4,1.5
C12,extremo(n3+p0.5+PBI),c208_21,3,0.5,pbi,184375218.698577,169429813.486652,223451820.783652,60.0,11.5,871.065229,1103.0705,4,7.25
C1,canônica,r106_21,20,0.9,tchebycheff,49911746.056667,3885948.231671,52572909.713855,29.0,28.5,103.735285,692.939,4,8.25
C2,n_neigh=15,r106_21,15,0.9,tchebycheff,45917519.618038,16748650.922797,46787097.499008,32.5,30.0,72.758018,683.247,4,8.25
C3,n_neigh=10,r106_21,10,0.9,tchebycheff,49847163.332512,3105624.349581,50118578.830056,40.5,29.0,83.582177,678.4405,4,6.75
C4,n_neigh=5,r106_21,5,0.9,tchebycheff,57545055.660093,6821432.22221,55892721.378286,51.0,28.0,51.544765,676.5445,4,7.5
C5,n_neigh=3,r106_21,3,0.9,tchebycheff,62446797.714631,1269234.141278,63290581.128239,65.0,27.0,107.071982,692.001,4,7.75
C6,prob=0.7,r106_21,10,0.7,tchebycheff,48663508.555162,8343580.633602,50573838.659674,33.5,29.5,78.744301,672.056,4,8.0
C7,prob=0.5,r106_21,10,0.5,tchebycheff,53619485.978506,8528308.285317,51359145.255416,39.5,28.5,66.930783,675.751,4,6.0
C8,PBI(5),r106_21,10,0.9,pbi,50414669.50207,5209863.241078,48781211.340845,35.0,29.0,57.81738,686.751,4,5.25
C9,WeightedSum,r106_21,10,0.9,weighted-sum,107585084.900832,5825769.937465,104279018.599416,49.0,19.5,15.751093,654.4745,4,1.5
C10,n5+p0.7+PBI,r106_21,5,0.7,pbi,46294044.860583,4001142.104351,49010241.642853,51.5,29.0,108.955399,690.6235,4,10.0
C11,n5+WS,r106_21,5,0.9,weighted-sum,110199411.414107,7904017.409499,110241331.504732,56.5,19.5,23.032283,659.7665,4,1.5
C12,extremo(n3+p0.5+PBI),r106_21,3,0.5,pbi,50064493.386449,3576575.43599,48779373.429731,64.5,29.0,118.565329,672.2465,4,7.25
C1,canônica,r201_21,20,0.9,tchebycheff,109753551.894923,52257211.775349,132027182.55823,27.0,13.0,950.054513,930.8895,4,8.25
C2,n_neigh=15,r201_21,15,0.9,tchebycheff,144988581.82123,59290260.00351,156060485.67634,30.5,11.0,839.429906,976.392,4,8.25
C3,n_neigh=10,r201_21,10,0.9,tchebycheff,123018928.231216,48917715.923568,130019893.829601,43.0,12.0,291.27006,839.056,4,6.75
C4,n_neigh=5,r201_21,5,0.9,tchebycheff,105581045.564506,21292778.307462,107237047.311027,52.0,13.0,323.143915,845.0805,4,7.5
C5,n_neigh=3,r201_21,3,0.9,tchebycheff,115428085.514879,13945201.148008,112785125.529711,63.0,13.0,215.037741,835.5415,4,7.75
C6,prob=0.7,r201_21,10,0.7,tchebycheff,119096481.830485,22896810.894866,113150914.047526,40.5,13.0,410.767901,857.951,4,8.0
C7,prob=0.5,r201_21,10,0.5,tchebycheff,121049964.942785,17961361.199731,119389126.670205,35.5,13.0,275.479397,827.1665,4,6.0
C8,PBI(5),r201_21,10,0.9,pbi,152282149.724151,56884084.354031,153666465.189517,42.0,11.5,490.237558,920.8305,4,5.25
C9,WeightedSum,r201_21,10,0.9,weighted-sum,269662544.926941,98468866.648698,258904905.67582,43.5,7.5,244.958458,835.453,4,1.5
C10,n5+p0.7+PBI,r201_21,5,0.7,pbi,112131018.841246,17768566.670012,118314982.600116,48.0,12.0,193.186745,841.997,4,10.0
C11,n5+WS,r201_21,5,0.9,weighted-sum,268426052.720251,58941143.592736,277158425.399153,53.5,7.5,173.780923,808.888,4,1.5
C12,extremo(n3+p0.5+PBI),r201_21,3,0.5,pbi,125555020.046352,45451506.956808,123302419.037242,61.5,12.5,258.646082,732.025,4,7.25
