config_id,config_label,instance,run_idx,seed,n_neighbors,prob_neighbor_mating,decomposition,pbi_theta,n_evals,effective_evals,n_feasible,n_total,n_unique_obj,n_unique_feasible,n_f1_layers,best_f1,best_f2,best_f3,hv_raw,elapsed_s,timestamp,error
C1,canônica,r106_21,1,4018994955,20,0.9,tchebycheff,,300000,300090,105,105,27,27,4,29.0,2464.712325217968,98.92633772531403,0.0,674.492,2026-04-11T01:53:36,
C1,canônica,r106_21,2,216525834,20,0.9,tchebycheff,,300000,300090,105,105,39,39,4,27.0,2358.617851593311,55.87857225346774,0.0,691.693,2026-04-11T01:53:53,
C1,canônica,c101_21,4,2261423952,20,0.9,tchebycheff,,300000,300090,105,105,22,22,1,30.0,3558.379444059065,3468.831490458928,0.0,735.772,2026-04-11T01:54:37,
C1,canônica,c101_21,1,924464161,20,0.9,tchebycheff,,300000,300090,105,105,21,21,2,32.0,3559.533904392074,6121.812915013557,0.0,752.293,2026-04-11T01:54:53,
C1,canônica,c101_21,2,954006183,20,0.9,tchebycheff,,300000,300090,105,105,16,16,2,30.0,3831.6045391695534,5581.81387198818,0.0,755.589,2026-04-11T01:54:57,
C1,canônica,c101_21,3,4240964531,20,0.9,tchebycheff,,300000,300090,105,105,22,22,1,30.0,3696.030404306551,4548.670910098206,0.0,809.546,2026-04-11T01:55:51,
C1,canônica,c208_21,2,3432169548,20,0.9,tchebycheff,,300000,300090,105,105,25,25,1,10.0,3081.8959200114996,7665.518297796802,259297593589.61377,1184.223,2026-04-11T02:02:05,
C1,canônica,c208_21,4,1063610132,20,0.9,tchebycheff,,300000,300090,105,105,21,21,1,11.0,2871.150888256969,7987.518062515171,271942438517.2083,1186.825,2026-04-11T02:02:08,
C1,canônica,c208_21,1,2485647483,20,0.9,tchebycheff,,300000,300090,105,105,31,31,1,9.0,3182.6311104105125,6848.262541548977,254450295062.85074,1279.689,2026-04-11T02:03:41,
C1,canônica,c208_21,3,1365202169,20,0.9,tchebycheff,,300000,300090,105,105,36,36,1,10.0,2888.1723026071368,7535.608586705167,272950320921.0919,1290.908,2026-04-11T02:03:52,
C1,canônica,r106_21,3,3484149962,20,0.9,tchebycheff,,300000,300090,105,105,23,23,3,29.0,2490.6668535063695,108.54423226531513,0.0,694.185,2026-04-11T02:05:10,
C1,canônica,r106_21,4,921230012,20,0.9,tchebycheff,,300000,300090,105,105,31,31,3,28.0,2498.393984567437,253.66017295124215,0.0,704.026,2026-04-11T02:05:37,
C1,canônica,r201_21,2,2661788082,20,0.9,tchebycheff,,300000,300090,105,105,29,29,1,14.0,2637.408983258326,538.650690666696,0.0,916.553,2026-04-11T02:10:10,
C1,canônica,r201_21,3,514765854,20,0.9,tchebycheff,,300000,300090,105,105,26,26,2,10.0,2388.655136446444,804.2982992515532,0.0,930.118,2026-04-11T02:10:27,
C1,canônica,r201_21,1,4052726611,20,0.9,tchebycheff,,300000,300090,105,105,19,19,2,13.0,2669.783258545265,1394.310707265459,0.0,969.39,2026-04-11T02:10:46,
C1,canônica,r201_21,4,139005723,20,0.9,tchebycheff,,300000,300090,105,105,28,28,1,13.0,2499.861757757799,1095.8107264720602,0.0,931.661,2026-04-11T02:11:22,
C2,n_neigh=15,c101_21,1,2037157504,15,0.9,tchebycheff,,300000,300090,105,105,24,24,2,32.0,3608.147468470038,4333.233945323987,0.0,728.613,2026-04-11T02:14:14,
C2,n_neigh=15,c101_21,2,195494265,15,0.9,tchebycheff,,300000,300090,105,105,16,16,2,32.0,3719.9243410071967,4727.438728273437,0.0,763.765,2026-04-11T02:14:52,
C2,n_neigh=15,c101_21,4,3347948207,15,0.9,tchebycheff,,300000,300090,105,105,23,23,1,30.0,3728.8901348630725,3541.668608253462,0.0,776.065,2026-04-11T02:16:48,
C2,n_neigh=15,c101_21,3,3643593361,15,0.9,tchebycheff,,300000,300090,105,105,23,23,1,31.0,3870.9887795441014,4147.628174255609,0.0,795.441,2026-04-11T02:16:56,
C2,n_neigh=15,r106_21,1,1316405810,15,0.9,tchebycheff,,300000,300090,105,105,29,29,1,32.0,2659.0981559973625,69.71915083545302,0.0,707.717,2026-04-11T02:22:34,
C2,n_neigh=15,r106_21,2,286799652,15,0.9,tchebycheff,,300000,300090,105,105,36,36,2,29.0,2421.0555510657223,75.79688563338246,0.0,680.885,2026-04-11T02:22:43,
C2,n_neigh=15,c208_21,2,2619993312,15,0.9,tchebycheff,,300000,300090,105,105,30,30,1,12.0,3218.3767639021657,4674.1935251251425,247629775975.64767,1122.92,2026-04-11T02:24:20,
C2,n_neigh=15,c208_21,1,3448849682,15,0.9,tchebycheff,,300000,300090,105,105,31,31,1,10.0,2880.202434060643,1738.4447949287353,276676642195.77264,1167.702,2026-04-11T02:24:37,
C2,n_neigh=15,r106_21,3,3280766885,15,0.9,tchebycheff,,300000,300090,105,105,40,40,3,31.0,2552.2070819530154,206.28939167725824,0.0,685.609,2026-04-11T02:25:39,
C2,n_neigh=15,r106_21,4,2387755375,15,0.9,tchebycheff,,300000,300090,105,105,29,29,2,28.0,2333.0485448547447,54.04066059175405,0.0,666.998,2026-04-11T02:25:59,
C2,n_neigh=15,c208_21,4,2013534826,15,0.9,tchebycheff,,300000,300090,105,105,29,29,1,11.0,3487.2157544731276,5997.050439169248,229991051028.00836,1187.021,2026-04-11T02:30:14,
C2,n_neigh=15,c208_21,3,2617648884,15,0.9,tchebycheff,,300000,300090,105,105,33,33,1,10.0,2971.333987619542,6342.235426454432,267755065346.98685,1234.91,2026-04-11T02:30:45,
C2,n_neigh=15,r201_21,1,866757100,15,0.9,tchebycheff,,300000,300090,105,105,29,29,2,11.0,2765.4500282553818,480.51620264925316,0.0,902.938,2026-04-11T02:31:51,
C2,n_neigh=15,r201_21,2,3905840399,15,0.9,tchebycheff,,300000,300090,105,105,42,42,3,9.0,2397.2626806262606,286.5936826463114,0.0,955.449,2026-04-11T02:32:52,
C3,n_neigh=10,c101_21,1,724721563,10,0.9,tchebycheff,,300000,300090,105,105,19,19,1,30.0,3501.7988512181573,3470.9704684616977,0.0,729.52,2026-04-11T02:36:29,
C3,n_neigh=10,c101_21,2,1664555488,10,0.9,tchebycheff,,300000,300090,105,105,30,30,1,31.0,3682.9237440777115,6443.786424864741,0.0,769.98,2026-04-11T02:37:27,
C3,n_neigh=10,c101_21,4,3975882131,10,0.9,tchebycheff,,300000,300090,105,105,28,28,2,31.0,3561.4285112532457,3075.5276074182084,0.0,740.949,2026-04-11T02:38:20,
C2,n_neigh=15,r201_21,3,3280235900,15,0.9,tchebycheff,,300000,300090,105,105,31,31,1,13.0,2869.3375006352144,1796.6050719092768,0.0,997.335,2026-04-11T02:39:11,
C3,n_neigh=10,c101_21,3,951123163,10,0.9,tchebycheff,,300000,300090,105,105,29,29,3,32.0,4020.4116932195884,5351.244115290675,0.0,820.664,2026-04-11T02:39:20,
C2,n_neigh=15,r201_21,4,2709274082,15,0.9,tchebycheff,,300000,300090,105,105,30,30,2,11.0,2616.950001656908,1198.3436101398108,0.0,1011.662,2026-04-11T02:39:35,
C3,n_neigh=10,r106_21,1,4127973926,10,0.9,tchebycheff,,300000,300090,105,105,34,34,4,29.0,2387.867038350976,76.90914547816675,0.0,663.835,2026-04-11T02:47:33,
