f1,f2,f3
15,2446.545674,983.926756
15,2461.146765,950.499953
15,2534.713407,942.389871
15,2610.934987,922.355339
16,2343.839378,949.372898
16,2454.959845,946.254511
16,2488.521093,942.600029
16,2493.983051,931.319255
16,2510.529751,922.355339
17,2285.894795,951.562419
17,2402.782604,922.355339
18,2362.850765,932.496684
18,2366.367613,922.355339
19,2242.788186,974.077331
19,2244.482623,951.562419
19,2278.176471,949.372898
19,2352.191945,922.355339
20,2275.483583,922.920160
20,2299.160202,922.355339
21,2268.997867,922.355339
