algorithm_id,instance,run_idx,seed,n_evals_budget,n_evals_actual,n_feasible,n_pareto,hv_quick,igd_plus_quick,best_f1,best_f2,best_f3,n_f1_layers,elapsed_seconds,timestamp_start,timestamp_end,status,pickle_path,git_commit
smsemoa,c101_21,8,3217689813,850000,850080,105,100,70319452.261871,,13.0,1601.3436,946.3656,10,1455.798,2026-04-13T01:07:16,2026-04-13T01:31:32,ok,pickles/smsemoa/c101_21/run08.pkl,41f34bd
smsemoa,r110_21,10,2451085754,850000,850080,105,48,4197171.150946,,15.0,1547.2087,0.0,7,1494.865,2026-04-13T01:07:16,2026-04-13T01:32:11,ok,pickles/smsemoa/r110_21/run10.pkl,41f34bd
smsemoa,c101_21,5,1416711318,850000,850080,105,64,182638574.699737,,15.0,1757.033,2929.5448,10,1508.177,2026-04-13T01:07:16,2026-04-13T01:32:24,ok,pickles/smsemoa/c101_21/run05.pkl,41f34bd
nsga2,c101_21,10,1568808860,850000,850080,105,80,120750601.406718,,13.0,1640.0992,1946.6462,10,1532.901,2026-04-13T01:07:16,2026-04-13T01:32:49,ok,pickles/nsga2/c101_21/run10.pkl,41f34bd
smsemoa,c104_21,4,3336761032,850000,850080,105,88,21350847.887383,,11.0,1341.0901,0.0,6,1783.439,2026-04-13T01:07:16,2026-04-13T01:36:59,ok,pickles/smsemoa/c104_21/run04.pkl,41f34bd
smsemoa,c104_21,3,598805899,850000,850080,105,71,24899684.500379,,11.0,1513.9598,0.0,7,1795.095,2026-04-13T01:07:16,2026-04-13T01:37:11,ok,pickles/smsemoa/c104_21/run03.pkl,41f34bd
smsemoa,c104_21,7,1379752137,850000,850080,105,58,26836799.498565,,11.0,1465.1606,0.0,6,1795.215,2026-04-13T01:07:16,2026-04-13T01:37:11,ok,pickles/smsemoa/c104_21/run07.pkl,41f34bd
smsemoa,c104_21,6,3665005443,850000,850080,105,76,11375395.536883,,11.0,1443.7316,0.6672,6,1836.356,2026-04-13T01:07:16,2026-04-13T01:37:52,ok,pickles/smsemoa/c104_21/run06.pkl,41f34bd
nsga2,r201_21,1,1218097478,850000,850080,105,105,164811904.452412,,6.0,1215.7539,621.2916,7,1999.087,2026-04-13T01:07:16,2026-04-13T01:40:35,ok,pickles/nsga2/r201_21/run01.pkl,41f34bd
smsemoa,r201_21,5,3024702104,850000,850080,105,103,34117515.654793,,5.0,1223.4834,179.646,4,2181.415,2026-04-13T01:07:16,2026-04-13T01:43:37,ok,pickles/smsemoa/r201_21/run05.pkl,41f34bd
smsemoa,c101_21,9,2291688282,850000,850080,105,96,58645911.244321,,15.0,1726.1571,3268.1327,7,1495.349,2026-04-13T01:32:24,2026-04-13T01:57:20,ok,pickles/smsemoa/c101_21/run09.pkl,41f34bd
smsemoa,c101_21,3,489889950,850000,850080,105,81,93255380.317677,,15.0,1702.6351,1292.1607,10,1454.158,2026-04-13T01:37:11,2026-04-13T02:01:25,ok,pickles/smsemoa/c101_21/run03.pkl,41f34bd
moead_ws,c101_21,8,1107646421,850000,850080,105,95,639654218.44427,,17.0,2016.71,2513.1353,5,2142.501,2026-04-13T01:31:32,2026-04-13T02:07:14,ok,pickles/moead_ws/c101_21/run08.pkl,41f34bd
nsga2,c104_21,7,1332604832,850000,850080,105,69,23274922.310314,,11.0,1460.8423,0.0,7,1822.062,2026-04-13T01:36:59,2026-04-13T02:07:22,ok,pickles/nsga2/c104_21/run07.pkl,41f34bd
smsemoa,c104_21,8,1767025676,850000,850080,105,72,17165630.696855,,10.0,1356.4191,0.0,6,1807.374,2026-04-13T01:37:52,2026-04-13T02:08:00,ok,pickles/smsemoa/c104_21/run08.pkl,41f34bd
nsga2,r201_21,3,2376860080,850000,850080,105,103,101967653.942478,,5.0,1206.0453,228.4729,6,2119.052,2026-04-13T01:32:49,2026-04-13T02:08:08,ok,pickles/nsga2/r201_21/run03.pkl,41f34bd
moead_ws,r110_21,3,783294278,850000,850080,105,71,1443290.587277,,14.0,1435.0174,0.0,6,1900.257,2026-04-13T01:37:11,2026-04-13T02:08:51,ok,pickles/moead_ws/r110_21/run03.pkl,41f34bd
moead_ws,r201_21,10,1024352790,850000,850080,105,65,52097180.015439,,7.0,1218.3509,0.0,4,2315.277,2026-04-13T01:32:11,2026-04-13T02:10:46,ok,pickles/moead_ws/r201_21/run10.pkl,41f34bd
moead_ws,r110_21,9,2211223447,850000,850080,105,82,9443635.021881,,16.0,1521.3136,0.0,8,1912.691,2026-04-13T01:43:37,2026-04-13T02:15:30,ok,pickles/moead_ws/r110_21/run09.pkl,41f34bd
moead_ws,c104_21,2,154283683,850000,850080,105,41,17327898.86261,,13.0,1598.2846,6.1332,4,2312.121,2026-04-13T01:40:35,2026-04-13T02:19:07,ok,pickles/moead_ws/c104_21/run02.pkl,41f34bd
nsga2,c101_21,9,2213243757,850000,850080,105,102,175746170.784695,,14.0,1727.6034,868.7226,10,1465.598,2026-04-13T01:57:20,2026-04-13T02:21:45,ok,pickles/nsga2/c101_21/run09.pkl,41f34bd
nsga2,c101_21,8,934366654,850000,850080,105,103,154699102.662456,,15.0,1770.2347,2745.5325,10,1462.749,2026-04-13T02:08:00,2026-04-13T02:32:23,ok,pickles/nsga2/c101_21/run08.pkl,41f34bd
smsemoa,r110_21,9,1663844035,850000,850080,105,65,1324981.943174,,15.0,1510.421,0.0,5,1507.369,2026-04-13T02:07:22,2026-04-13T02:32:29,ok,pickles/smsemoa/r110_21/run09.pkl,41f34bd
nsga2,c101_21,2,4064248643,850000,850080,105,78,104596334.248121,,14.0,1732.9105,1901.5946,11,1465.466,2026-04-13T02:08:08,2026-04-13T02:32:34,ok,pickles/nsga2/c101_21/run02.pkl,41f34bd
moead_ws,r110_21,2,2831205090,850000,850080,105,70,8003508.982981,,15.0,1529.9907,0.0,9,1887.679,2026-04-13T02:01:25,2026-04-13T02:32:53,ok,pickles/moead_ws/r110_21/run02.pkl,41f34bd
smsemoa,c104_21,9,1062726660,850000,850080,105,54,5264593.515722,,11.0,1292.9681,14.5051,5,1777.038,2026-04-13T02:07:14,2026-04-13T02:36:51,ok,pickles/smsemoa/c104_21/run09.pkl,41f34bd
nsga2,r110_21,7,2905566219,850000,850080,105,90,6631921.11424,,14.0,1524.9488,0.0,9,1499.449,2026-04-13T02:15:30,2026-04-13T02:40:30,ok,pickles/nsga2/r110_21/run07.pkl,41f34bd
smsemoa,c101_21,1,2240744805,850000,850080,105,87,72190578.225967,,15.0,1707.4504,2176.18,8,1470.981,2026-04-13T02:19:07,2026-04-13T02:43:38,ok,pickles/smsemoa/c101_21/run01.pkl,41f34bd
nsga2,r110_21,2,3535207804,850000,850080,105,99,7477455.12609,,14.0,1480.9771,0.0,9,1507.328,2026-04-13T02:21:45,2026-04-13T02:46:53,ok,pickles/nsga2/r110_21/run02.pkl,41f34bd
