generation,n_feasible,mode,min_f1,min_f2,min_f3
1,0,all_infeasible,32.0,2931.2944860486177,1174.552945357247
2,58,feasible,53.0,3360.019613896483,1174.552945357247
3,77,feasible,49.0,3238.459413266904,1174.552945357247
4,71,feasible,49.0,3238.459413266904,1174.552945357247
5,61,feasible,49.0,3238.459413266904,1174.552945357247
6,81,feasible,48.0,3124.1195810485674,1174.552945357247
7,98,feasible,48.0,3114.7339320170963,1174.552945357247
8,80,feasible,48.0,3114.7339320170963,1174.552945357247
9,82,feasible,48.0,3114.7339320170963,1174.552945357247
10,82,feasible,48.0,3114.7339320170963,1182.9579693688947
11,82,feasible,48.0,3114.7339320170963,1182.9579693688947
12,96,feasible,48.0,3114.7339320170963,1182.9579693688947
13,96,feasible,48.0,3114.7339320170963,1182.9579693688947
14,96,feasible,47.0,3114.7339320170963,1183.5594502628123
15,96,feasible,47.0,3114.7339320170963,1183.5594502628123
16,96,feasible,45.0,3114.7339320170963,1183.5594502628123
17,96,feasible,45.0,3114.7339320170963,1183.5594502628123
18,96,feasible,45.0,3114.7339320170963,1183.5594502628123
19,103,feasible,45.0,3107.0658344538206,1183.5594502628123
20,103,feasible,45.0,3107.0658344538206,1183.5594502628123
21,103,feasible,45.0,3107.0658344538206,1183.5594502628123
22,103,feasible,45.0,3107.0658344538206,1183.5594502628123
23,103,feasible,46.0,3042.799710746935,1174.552945357247
24,103,feasible,46.0,3042.799710746935,1174.552945357247
25,103,feasible,46.0,3042.799710746935,1174.552945357247
26,103,feasible,46.0,3042.799710746935,1174.552945357247
27,103,feasible,46.0,3042.799710746935,1174.552945357247
28,103,feasible,46.0,3042.799710746935,1174.552945357247
29,103,feasible,46.0,3042.799710746935,1174.552945357247
30,83,feasible,46.0,3042.799710746935,1174.552945357247
31,83,feasible,46.0,3042.799710746935,1174.552945357247
32,102,feasible,46.0,3042.799710746935,1174.552945357247
33,102,feasible,46.0,3042.799710746935,1174.552945357247
34,102,feasible,46.0,3042.799710746935,1174.552945357247
35,102,feasible,46.0,3042.799710746935,1174.552945357247
36,103,feasible,46.0,3008.0622372956554,1174.552945357247
37,103,feasible,46.0,3008.0622372956554,1174.552945357247
38,103,feasible,46.0,3008.0622372956554,1174.552945357247
39,103,feasible,46.0,3008.0622372956554,1174.552945357247
40,103,feasible,46.0,3008.0622372956554,1174.552945357247
41,103,feasible,45.0,2963.6490229517512,1174.552945357247
42,105,feasible,45.0,2963.6490229517512,1174.552945357247
43,105,feasible,45.0,2963.6490229517512,1174.552945357247
44,102,feasible,45.0,2963.6490229517512,1174.552945357247
45,105,feasible,45.0,2963.6490229517512,1174.552945357247
46,102,feasible,45.0,2963.6490229517512,1174.552945357247
47,81,feasible,45.0,2963.6490229517512,1174.552945357247
48,82,feasible,45.0,2963.6490229517512,1174.552945357247
49,84,feasible,45.0,2945.57933206511,1174.552945357247
50,84,feasible,45.0,2945.57933206511,1174.552945357247
51,84,feasible,45.0,2945.57933206511,1174.552945357247
52,84,feasible,45.0,2945.57933206511,1174.552945357247
53,85,feasible,45.0,2945.57933206511,1174.552945357247
54,85,feasible,44.0,2923.590784927733,1174.552945357247
55,85,feasible,44.0,2923.590784927733,1174.552945357247
56,85,feasible,44.0,2923.590784927733,1174.552945357247
57,85,feasible,44.0,2923.590784927733,1174.552945357247
58,87,feasible,44.0,2881.22891064722,1183.5594502628123
59,87,feasible,44.0,2881.22891064722,1174.552945357247
60,87,feasible,43.0,2828.3782732942623,1174.552945357247
