generation,n_feasible,mode,min_f1,min_f2,min_f3
1,2,feasible,50.0,3544.304281158117,1185.6950827347298
2,4,feasible,50.0,3544.304281158117,1174.552945357247
3,11,feasible,49.0,3157.80127416486,1174.552945357247
4,16,feasible,49.0,3157.80127416486,1174.552945357247
5,32,feasible,49.0,3157.80127416486,1174.552945357247
6,47,feasible,48.0,3157.80127416486,1174.552945357247
7,56,feasible,47.0,3087.653301320778,1174.552945357247
8,63,feasible,47.0,3087.653301320778,1174.552945357247
9,67,feasible,47.0,3087.653301320778,1174.552945357247
10,71,feasible,47.0,3087.653301320778,1174.552945357247
11,68,feasible,47.0,3087.653301320778,1174.552945357247
12,70,feasible,47.0,3087.653301320778,1174.552945357247
13,73,feasible,47.0,3087.653301320778,1174.552945357247
14,74,feasible,47.0,3087.653301320778,1174.552945357247
15,74,feasible,47.0,3087.653301320778,1174.552945357247
16,75,feasible,47.0,3087.653301320778,1174.552945357247
17,73,feasible,44.0,2889.5992839105656,1174.552945357247
18,73,feasible,44.0,2889.5992839105656,1174.552945357247
19,76,feasible,44.0,2889.5992839105656,1174.552945357247
20,75,feasible,44.0,2889.5992839105656,1174.552945357247
21,77,feasible,44.0,2889.5992839105656,1174.552945357247
22,80,feasible,44.0,2889.5992839105656,1174.552945357247
23,80,feasible,44.0,2889.5992839105656,1174.552945357247
24,80,feasible,44.0,2889.5992839105656,1174.552945357247
25,81,feasible,42.0,2889.5992839105656,1174.552945357247
26,80,feasible,42.0,2889.5992839105656,1174.552945357247
27,79,feasible,42.0,2889.5992839105656,1174.552945357247
28,76,feasible,42.0,2889.5992839105656,1174.552945357247
29,74,feasible,42.0,2889.5992839105656,1174.552945357247
30,75,feasible,42.0,2889.5992839105656,1174.552945357247
31,76,feasible,42.0,2889.5992839105656,1174.552945357247
32,76,feasible,42.0,2889.5992839105656,1174.552945357247
33,79,feasible,42.0,2889.5992839105656,1174.552945357247
34,79,feasible,42.0,2889.5992839105656,1174.552945357247
35,80,feasible,42.0,2889.5992839105656,1174.552945357247
36,81,feasible,42.0,2889.5992839105656,1174.552945357247
37,81,feasible,42.0,2889.5992839105656,1174.552945357247
38,83,feasible,42.0,2889.5992839105656,1174.552945357247
39,84,feasible,42.0,2889.5992839105656,1174.552945357247
40,84,feasible,42.0,2889.5992839105656,1174.552945357247
41,84,feasible,42.0,2889.5992839105656,1174.552945357247
42,82,feasible,42.0,2889.5992839105656,1174.552945357247
43,80,feasible,42.0,2889.5992839105656,1174.552945357247
44,78,feasible,42.0,2889.5992839105656,1174.552945357247
45,78,feasible,42.0,2889.5992839105656,1174.552945357247
46,77,feasible,42.0,2889.5992839105656,1174.552945357247
47,77,feasible,42.0,2889.5992839105656,1174.552945357247
48,76,feasible,42.0,2889.5992839105656,1174.552945357247
49,76,feasible,42.0,2889.5992839105656,1174.552945357247
50,76,feasible,42.0,2889.5992839105656,1174.552945357247
51,75,feasible,42.0,2889.5992839105656,1174.552945357247
52,77,feasible,42.0,2889.5992839105656,1174.552945357247
53,75,feasible,41.0,2889.5992839105656,1174.552945357247
54,73,feasible,41.0,2889.5992839105656,1174.552945357247
55,73,feasible,41.0,2889.5992839105656,1174.552945357247
56,71,feasible,41.0,2889.5992839105656,1174.552945357247
57,70,feasible,41.0,2889.5992839105656,1174.552945357247
58,70,feasible,41.0,2889.5992839105656,1174.552945357247
59,70,feasible,41.0,2889.5992839105656,1174.552945357247
60,72,feasible,41.0,2889.5992839105656,1174.552945357247
