generation,n_feasible,mode,min_f1,min_f2,min_f3
1,3,feasible,53.0,3725.965740637786,1200.846747460324
2,7,feasible,53.0,3642.158509884817,1174.552945357247
3,11,feasible,50.0,3228.4578538423843,1174.552945357247
4,18,feasible,50.0,3228.4578538423843,1174.552945357247
5,27,feasible,50.0,3228.4578538423843,1174.552945357247
6,37,feasible,50.0,3228.4578538423843,1174.552945357247
7,45,feasible,50.0,3192.8304065347465,1174.552945357247
8,46,feasible,50.0,3192.8304065347465,1174.552945357247
9,46,feasible,50.0,3192.8304065347465,1174.552945357247
10,49,feasible,50.0,3192.8304065347465,1174.552945357247
11,53,feasible,49.0,3192.8304065347465,1174.552945357247
12,57,feasible,49.0,3192.8304065347465,1174.552945357247
13,61,feasible,49.0,3161.5828963754875,1174.552945357247
14,59,feasible,49.0,3161.5828963754875,1174.552945357247
15,62,feasible,49.0,3161.5828963754875,1174.552945357247
16,67,feasible,47.0,3055.4522045428002,1174.552945357247
17,69,feasible,47.0,3055.4522045428002,1174.552945357247
18,74,feasible,47.0,3055.4522045428002,1174.552945357247
19,73,feasible,47.0,3055.4522045428002,1174.552945357247
20,75,feasible,46.0,3055.4522045428002,1174.552945357247
21,77,feasible,46.0,3055.4522045428002,1174.552945357247
22,73,feasible,46.0,3055.4522045428002,1174.552945357247
23,77,feasible,46.0,3055.4522045428002,1174.552945357247
24,77,feasible,46.0,3055.4522045428002,1174.552945357247
25,78,feasible,46.0,3055.4522045428002,1174.552945357247
26,76,feasible,46.0,3055.4522045428002,1174.552945357247
27,76,feasible,46.0,3055.4522045428002,1174.552945357247
28,77,feasible,46.0,3055.4522045428002,1174.552945357247
29,77,feasible,46.0,3055.4522045428002,1174.552945357247
30,79,feasible,46.0,3055.4522045428002,1174.552945357247
31,81,feasible,46.0,3055.4522045428002,1174.552945357247
32,80,feasible,46.0,3055.4522045428002,1174.552945357247
33,82,feasible,46.0,3055.4522045428002,1174.552945357247
34,81,feasible,46.0,3055.4522045428002,1174.552945357247
35,83,feasible,46.0,3053.2366087410724,1174.552945357247
36,83,feasible,46.0,3044.714529322617,1174.552945357247
37,84,feasible,46.0,3044.714529322617,1174.552945357247
38,84,feasible,46.0,2954.1884383558836,1174.552945357247
39,87,feasible,46.0,2954.1884383558836,1174.552945357247
40,87,feasible,46.0,2954.1884383558836,1174.552945357247
41,87,feasible,46.0,2954.1884383558836,1174.552945357247
42,86,feasible,45.0,2954.1884383558836,1174.552945357247
43,85,feasible,45.0,2954.1884383558836,1174.552945357247
44,85,feasible,45.0,2954.1884383558836,1174.552945357247
45,84,feasible,45.0,2954.1884383558836,1174.552945357247
46,82,feasible,45.0,2954.1884383558836,1174.552945357247
47,81,feasible,45.0,2954.1884383558836,1174.552945357247
48,79,feasible,45.0,2954.1884383558836,1174.552945357247
49,79,feasible,44.0,2954.1884383558836,1174.552945357247
50,79,feasible,44.0,2915.07549872097,1174.552945357247
51,79,feasible,44.0,2915.07549872097,1174.552945357247
52,79,feasible,44.0,2915.07549872097,1174.552945357247
53,78,feasible,44.0,2915.07549872097,1174.552945357247
54,78,feasible,44.0,2915.07549872097,1174.552945357247
55,78,feasible,44.0,2915.07549872097,1174.552945357247
56,78,feasible,44.0,2915.07549872097,1174.552945357247
57,78,feasible,44.0,2915.07549872097,1174.552945357247
58,80,feasible,44.0,2915.07549872097,1174.552945357247
59,81,feasible,44.0,2915.07549872097,1174.552945357247
60,81,feasible,44.0,2915.07549872097,1174.552945357247
