algorithm_id,instance,run_idx,seed,n_evals_budget,n_evals_actual,n_feasible,n_pareto,hv_quick,igd_plus_quick,best_f1,best_f2,best_f3,n_f1_layers,elapsed_seconds,timestamp_start,timestamp_end,status,pickle_path,git_commit
nsga2,r101_21,1,3928347481,1000000,1000020,105,104,68824490.959835,,21.0,1995.0467,118.7179,18,1623.321,2026-04-11T21:01:58,2026-04-11T21:29:01,ok,pickles/nsga2/r101_21/run01.pkl,7482e60
smsemoa,r101_21,3,981753143,1000000,1000020,104,103,38253583.175059,,21.0,2106.6743,118.3565,18,1753.203,2026-04-11T21:01:58,2026-04-11T21:31:11,ok,pickles/smsemoa/r101_21/run03.pkl,7482e60
nsga2,c101_21,2,3075558387,1000000,1000020,105,105,138810028.539763,,15.0,1780.1939,2299.4054,11,1765.836,2026-04-11T21:01:58,2026-04-11T21:31:24,ok,pickles/nsga2/c101_21/run02.pkl,7482e60
moead_ws,r101_21,1,3539157676,1000000,1000020,105,98,53838445.328777,,23.0,1998.9072,206.2784,16,2130.208,2026-04-11T21:01:58,2026-04-11T21:37:28,ok,pickles/moead_ws/r101_21/run01.pkl,7482e60
moead_ws,r101_21,3,2391760945,1000000,1000020,105,78,140802716.313965,,26.0,2173.8298,173.7495,13,2179.431,2026-04-11T21:01:58,2026-04-11T21:38:17,ok,pickles/moead_ws/r101_21/run03.pkl,7482e60
nsga2,rc201_21,2,1426368451,1000000,1000020,105,103,240297777.262656,,6.0,1528.7127,245.1158,8,2232.564,2026-04-11T21:01:58,2026-04-11T21:39:10,ok,pickles/nsga2/rc201_21/run02.pkl,7482e60
moead_ws,c101_21,3,1476390570,1000000,1000020,105,64,686155382.702115,,15.0,1813.2741,2862.0291,6,2390.523,2026-04-11T21:01:58,2026-04-11T21:41:48,ok,pickles/moead_ws/c101_21/run03.pkl,7482e60
nsga2,r201_21,1,2808259933,1000000,1000020,105,104,236767183.725304,,6.0,1198.048,332.1669,9,2405.075,2026-04-11T21:01:58,2026-04-11T21:42:03,ok,pickles/nsga2/r201_21/run01.pkl,7482e60
moead_ws,rc201_21,4,2615484001,1000000,1000020,105,43,96473909.657689,,7.0,1283.1625,22.0,5,2605.564,2026-04-11T21:01:58,2026-04-11T21:45:23,ok,pickles/moead_ws/rc201_21/run04.pkl,7482e60
smsemoa,c201_21,2,3945417613,1000000,1000020,105,105,59418743.185276,,5.0,1053.5974,3753.6128,4,2883.681,2026-04-11T21:01:58,2026-04-11T21:50:01,ok,pickles/smsemoa/c201_21/run02.pkl,7482e60
smsemoa,r101_21,1,1905189886,1000000,1000020,105,90,14214166.58482,,23.0,2020.7757,277.0134,13,1648.885,2026-04-11T21:42:03,2026-04-11T22:09:32,ok,pickles/smsemoa/r101_21/run01.pkl,7482e60
smsemoa,c101_21,3,2603581391,1000000,1000020,105,105,95304762.16381,,14.0,1691.5125,2782.1241,9,1779.429,2026-04-11T21:41:48,2026-04-11T22:11:28,ok,pickles/smsemoa/c101_21/run03.pkl,7482e60
moead_ws,r201_21,3,308630275,1000000,1000020,105,78,41324552.192583,,7.0,1221.1937,33.4009,4,2790.31,2026-04-11T21:31:11,2026-04-11T22:17:41,ok,pickles/moead_ws/r201_21/run03.pkl,7482e60
nsga2,r201_21,5,1619793231,1000000,1000020,105,105,236551112.050957,,6.0,1214.1693,160.1305,8,2470.818,2026-04-11T21:37:28,2026-04-11T22:18:39,ok,pickles/nsga2/r201_21/run05.pkl,7482e60
smsemoa,c201_21,3,2621021021,1000000,1000020,105,100,133042112.919568,,5.0,1087.2522,1342.8605,6,2851.703,2026-04-11T21:31:24,2026-04-11T22:18:55,ok,pickles/smsemoa/c201_21/run03.pkl,7482e60
moead_ws,rc101_21,2,137124764,1000000,1000020,105,62,75918187.068919,,20.0,2221.2556,26.7226,14,2123.337,2026-04-11T21:45:23,2026-04-11T22:20:47,ok,pickles/moead_ws/rc101_21/run02.pkl,7482e60
moead_ws,r201_21,1,2544366611,1000000,1000020,105,63,129624298.058797,,6.0,1043.2993,608.3793,6,3133.235,2026-04-11T21:29:01,2026-04-11T22:21:14,ok,pickles/moead_ws/r201_21/run01.pkl,7482e60
moead_ws,rc201_21,5,3385128691,1000000,1000020,105,75,112794235.511778,,8.0,1285.7446,44.0746,4,2683.657,2026-04-11T21:38:17,2026-04-11T22:23:01,ok,pickles/moead_ws/rc201_21/run05.pkl,7482e60
moead_ws,rc201_21,1,1794351521,1000000,1000020,105,55,175216876.723154,,7.0,1286.4134,91.2488,5,2645.044,2026-04-11T21:39:10,2026-04-11T22:23:15,ok,pickles/moead_ws/rc201_21/run01.pkl,7482e60
moead_ws,rc201_21,2,3611829677,1000000,1000020,105,53,102638384.866392,,8.0,1157.9157,4.7076,4,2749.673,2026-04-11T21:50:01,2026-04-11T22:35:51,ok,pickles/moead_ws/rc201_21/run02.pkl,7482e60
smsemoa,c101_21,4,3972757500,1000000,1000020,105,104,112815658.353856,,15.0,1790.4179,2159.381,9,1761.098,2026-04-11T22:18:39,2026-04-11T22:48:00,ok,pickles/smsemoa/c101_21/run04.pkl,7482e60
smsemoa,r101_21,2,2771464385,1000000,1000020,105,105,35363843.680957,,23.0,2046.6888,161.9644,13,1677.245,2026-04-11T22:23:01,2026-04-11T22:50:58,ok,pickles/smsemoa/r101_21/run02.pkl,7482e60
smsemoa,rc201_21,1,3779783455,1000000,1000020,105,105,120532918.498309,,5.0,1511.6657,98.2306,7,2407.124,2026-04-11T22:11:28,2026-04-11T22:51:35,ok,pickles/smsemoa/rc201_21/run01.pkl,7482e60
moead_ws,r201_21,5,558077855,1000000,1000020,105,80,93737990.265449,,6.0,1144.9615,56.0336,5,2947.1,2026-04-11T22:09:32,2026-04-11T22:58:39,ok,pickles/moead_ws/r201_21/run05.pkl,7482e60
moead_ws,c101_21,4,2700772089,1000000,1000020,105,45,55710497.754324,,18.0,1737.8492,2994.803,5,2483.617,2026-04-11T22:18:55,2026-04-11T23:00:19,ok,pickles/moead_ws/c101_21/run04.pkl,7482e60
smsemoa,r201_21,5,3180592403,1000000,1000020,105,104,71191753.22384,,5.0,1313.0881,330.9116,7,2641.726,2026-04-11T22:17:41,2026-04-11T23:01:43,ok,pickles/smsemoa/r201_21/run05.pkl,7482e60
moead_ws,c101_21,1,215282684,1000000,1000020,105,54,543245322.284855,,17.0,1966.1717,2791.5113,5,2507.655,2026-04-11T22:23:15,2026-04-11T23:05:03,ok,pickles/moead_ws/c101_21/run01.pkl,7482e60
nsga2,c201_21,4,1694093896,1000000,1000020,105,94,76617562.090748,,4.0,1028.8052,1608.9252,5,3048.111,2026-04-11T22:20:47,2026-04-11T23:11:35,ok,pickles/nsga2/c201_21/run04.pkl,7482e60
moead_ws,r101_21,4,218294273,1000000,1000020,105,84,92384586.703468,,26.0,2164.4982,136.2275,15,2188.588,2026-04-11T22:35:51,2026-04-11T23:12:20,ok,pickles/moead_ws/r101_21/run04.pkl,7482e60
moead_ws,c201_21,3,1669677701,1000000,1000020,105,22,319794792.646728,,6.0,1134.0619,7524.3948,3,3341.183,2026-04-11T22:21:14,2026-04-11T23:16:56,ok,pickles/moead_ws/c201_21/run03.pkl,7482e60
smsemoa,c101_21,2,2457253999,1000000,1000020,105,99,61430792.949118,,14.0,1698.8156,2149.8633,9,1799.789,2026-04-11T22:48:00,2026-04-11T23:18:00,ok,pickles/smsemoa/c101_21/run02.pkl,7482e60
