algorithm_id,instance,nstar,nstar_converged,hv_median_final,window_evals,eps_threshold
moead_ws,c101_21,650055,1,862956021.8447,50000,0.01
moead_ws,c201_21,160020,1,1008531021.5731,50000,0.01
moead_ws,r101_21,430080,1,166664273.3914,50000,0.01
moead_ws,r201_21,370020,1,206630516.4508,50000,0.01
moead_ws,rc101_21,490035,1,151065277.5962,50000,0.01
moead_ws,rc201_21,440055,1,450892925.4632,50000,0.01
nsga2,c101_21,570045,1,1386258808.0163,50000,0.01
nsga2,c201_21,790020,1,3404735144.6806,50000,0.01
nsga2,r101_21,840000,1,187064163.0883,50000,0.01
nsga2,r201_21,590100,1,383246626.7121,50000,0.01
nsga2,rc101_21,920010,1,171338177.9540,50000,0.01
nsga2,rc201_21,690060,1,737918653.3134,50000,0.01
smsemoa,c101_21,550095,1,1511663276.0115,50000,0.01
smsemoa,c201_21,570045,1,3179232120.9422,50000,0.01
smsemoa,r101_21,540015,1,187543974.3141,50000,0.01
smsemoa,r201_21,530040,1,440952207.4544,50000,0.01
smsemoa,rc101_21,570045,1,173156691.3718,50000,0.01
smsemoa,rc201_21,620025,1,812040416.6463,50000,0.01
—,GLOBAL,1110000,,,50000,0.01
