task_id,algorithm_id,config_idx,instance,seed,pc,pm,n_neighbors,prob_neighbor_mating,decomposition,ref_dirs_method,pbi_theta,n_evals_budget,n_feasible,n_pareto,hv_local,best_f1,best_f2,best_f3,elapsed_s,status,front_path
10,smsemoa,18,rc101_21,2172814831,0.5909,0.00114,,,,,,400000,0,0,0.0,,,,0.0,error,
6,smsemoa,6,c201_21,505578213,0.4558,0.00317,,,,,,400000,0,0,0.0,,,,0.0,error,
2,nsga2,22,c201_21,2542768331,0.7003,0.00594,,,,,,400000,0,0,0.0,,,,0.0,error,
22,nsga2,7,r101_21,2403267523,0.6439,0.10916,,,,,,400000,0,0,0.0,,,,0.0,error,
14,nsga2,7,c101_21,1194930142,0.6439,0.10916,,,,,,400000,0,0,0.0,,,,0.0,error,
26,smsemoa,28,rc201_21,369493654,0.1086,0.04626,,,,,,400000,0,0,0.0,,,,0.0,error,
18,moead_ws,6,rc201_21,2847359499,0.2864,0.19537,24,0.0249,tchebycheff,energy,,400000,0,0,0.0,,,,0.0,error,
30,nsga2,2,c201_21,2937239893,0.8586,0.05339,,,,,,400000,0,0,0.0,,,,0.0,error,
38,nsga2,42,r101_21,1624305932,0.814,0.00259,,,,,,400000,0,0,0.0,,,,0.0,error,
42,moead_ws,17,rc101_21,3843170597,0.3936,0.00613,25,0.875,tchebycheff,energy,,400000,0,0,0.0,,,,0.0,error,
50,smsemoa,5,c101_21,3811224807,0.0964,0.17213,,,,,,400000,0,0,0.0,,,,0.0,error,
66,moead_ws,13,rc201_21,547378583,0.1053,0.00146,13,0.1462,tchebycheff,das-dennis,,400000,0,0,0.0,,,,0.0,error,
58,moead_ws,34,c101_21,424574720,0.7992,0.01656,20,0.5996,weighted-sum,energy,,400000,0,0,0.0,,,,0.0,error,
62,nsga2,48,r201_21,1121276677,0.3015,0.03642,,,,,,400000,0,0,0.0,,,,0.0,error,
46,moead_ws,31,c101_21,516777783,0.8009,0.02955,13,0.7951,pbi,energy,3.28,400000,0,0,0.0,,,,0.0,error,
54,moead_ws,4,c101_21,4049882882,0.739,0.00211,19,0.1238,tchebycheff,energy,,400000,0,0,0.0,,,,0.0,error,
70,nsga2,26,c101_21,2721171746,0.1999,0.00104,,,,,,400000,0,0,0.0,,,,0.0,error,
34,nsga2,41,rc101_21,1301924383,0.6643,0.01015,,,,,,400000,0,0,0.0,,,,0.0,error,
74,smsemoa,39,r201_21,3895024713,0.4351,0.28723,,,,,,400000,0,0,0.0,,,,0.0,error,
82,smsemoa,12,rc201_21,719967102,0.0844,0.01072,,,,,,400000,0,0,0.0,,,,0.0,error,
78,nsga2,22,rc201_21,4123281938,0.7003,0.00594,,,,,,400000,0,0,0.0,,,,0.0,error,
98,moead_ws,38,rc101_21,1313350362,0.9361,0.01215,6,0.3833,weighted-sum,energy,,400000,0,0,0.0,,,,0.0,error,
94,moead_ws,24,r101_21,4004104841,0.1398,0.01527,9,0.4169,tchebycheff,das-dennis,,400000,0,0,0.0,,,,0.0,error,
86,moead_ws,5,r201_21,3890557185,0.3976,0.00557,6,0.6629,tchebycheff,das-dennis,,400000,0,0,0.0,,,,0.0,error,
102,smsemoa,38,rc201_21,1997112556,0.1646,0.00129,,,,,,400000,0,0,0.0,,,,0.0,error,
106,moead_ws,5,rc201_21,2598511878,0.3976,0.00557,6,0.6629,tchebycheff,das-dennis,,400000,0,0,0.0,,,,0.0,error,
118,moead_ws,37,r101_21,3207829662,0.2705,0.00798,15,0.1576,weighted-sum,energy,,400000,0,0,0.0,,,,0.0,error,
110,nsga2,20,r101_21,1284495386,0.2269,0.04563,,,,,,400000,0,0,0.0,,,,0.0,error,
114,moead_ws,10,rc101_21,1834790187,0.2326,0.02064,21,0.606,pbi,energy,6.428,400000,0,0,0.0,,,,0.0,error,
130,moead_ws,17,rc201_21,19262663,0.3936,0.00613,25,0.875,tchebycheff,energy,,400000,0,0,0.0,,,,0.0,error,
134,nsga2,46,rc101_21,2617171134,0.1523,0.05307,,,,,,400000,0,0,0.0,,,,0.0,error,
122,moead_ws,35,c201_21,2590883331,0.1197,0.00195,19,0.6579,weighted-sum,energy,,400000,0,0,0.0,,,,0.0,error,
126,nsga2,21,c101_21,2938990947,0.4372,0.11552,,,,,,400000,0,0,0.0,,,,0.0,error,
90,smsemoa,19,c201_21,1799894406,0.9586,0.01566,,,,,,400000,0,0,0.0,,,,0.0,error,
138,smsemoa,1,r101_21,504746022,0.9086,0.05411,,,,,,400000,0,0,0.0,,,,0.0,error,
150,smsemoa,19,rc201_21,2182872219,0.9586,0.01566,,,,,,400000,0,0,0.0,,,,0.0,error,
146,moead_ws,7,c101_21,2195419487,0.634,0.00183,19,0.4191,weighted-sum,das-dennis,,400000,0,0,0.0,,,,0.0,error,
142,smsemoa,44,c101_21,3569880527,0.3737,0.00171,,,,,,400000,0,0,0.0,,,,0.0,error,
154,nsga2,18,rc201_21,912389557,0.4696,0.00295,,,,,,400000,0,0,0.0,,,,0.0,error,
170,moead_ws,10,r101_21,3697314128,0.2326,0.02064,21,0.606,pbi,energy,6.428,400000,0,0,0.0,,,,0.0,error,
174,moead_ws,20,r101_21,3424324779,0.1017,0.11603,15,0.052,tchebycheff,energy,,400000,0,0,0.0,,,,0.0,error,
166,smsemoa,22,c101_21,4110491306,0.9378,0.02608,,,,,,400000,0,0,0.0,,,,0.0,error,
162,nsga2,28,rc101_21,2510592779,0.7052,0.08589,,,,,,400000,0,0,0.0,,,,0.0,error,
178,moead_ws,14,r201_21,1658731040,0.3103,0.00227,21,0.921,tchebycheff,das-dennis,,400000,0,0,0.0,,,,0.0,error,
186,moead_ws,24,r201_21,347688411,0.1398,0.01527,9,0.4169,tchebycheff,das-dennis,,400000,0,0,0.0,,,,0.0,error,
190,smsemoa,49,r201_21,1213889155,0.5994,0.14669,,,,,,400000,0,0,0.0,,,,0.0,error,
194,smsemoa,22,c201_21,12462558,0.9378,0.02608,,,,,,400000,0,0,0.0,,,,0.0,error,
182,smsemoa,5,rc101_21,2010193926,0.0964,0.17213,,,,,,400000,0,0,0.0,,,,0.0,error,
198,smsemoa,2,c101_21,2553517595,0.2659,0.25163,,,,,,400000,0,0,0.0,,,,0.0,error,
210,moead_ws,18,r101_21,2804291417,0.0435,0.00282,22,0.2367,weighted-sum,das-dennis,,400000,0,0,0.0,,,,0.0,error,
158,moead_ws,17,c201_21,1641403177,0.3936,0.00613,25,0.875,tchebycheff,energy,,400000,0,0,0.0,,,,0.0,error,
218,nsga2,28,r101_21,793353644,0.7052,0.08589,,,,,,400000,0,0,0.0,,,,0.0,error,
214,smsemoa,9,r101_21,910973991,0.7585,0.06056,,,,,,400000,0,0,0.0,,,,0.0,error,
206,nsga2,23,rc101_21,767339142,0.8323,0.09851,,,,,,400000,0,0,0.0,,,,0.0,error,
222,smsemoa,3,r201_21,3014051977,0.7788,0.05968,,,,,,400000,0,0,0.0,,,,0.0,error,
202,smsemoa,11,r201_21,60034378,0.5841,0.04071,,,,,,400000,0,0,0.0,,,,0.0,error,
226,nsga2,43,c201_21,437849921,0.0227,0.00167,,,,,,400000,0,0,0.0,,,,0.0,error,
234,moead_ws,5,c101_21,3410401481,0.3976,0.00557,6,0.6629,tchebycheff,das-dennis,,400000,0,0,0.0,,,,0.0,error,
230,nsga2,31,rc201_21,1521921183,0.6684,0.01469,,,,,,400000,0,0,0.0,,,,0.0,error,
238,moead_ws,30,c201_21,1577600995,0.7257,0.00162,5,0.9359,pbi,das-dennis,9.63,400000,0,0,0.0,,,,0.0,error,
242,smsemoa,27,r201_21,58455065,0.1402,0.02357,,,,,,400000,0,0,0.0,,,,0.0,error,
254,nsga2,50,rc101_21,3247330606,0.118,0.2414,,,,,,400000,0,0,0.0,,,,0.0,error,
246,moead_ws,21,rc101_21,2375754895,0.0991,0.12292,21,0.9796,pbi,das-dennis,8.015,400000,0,0,0.0,,,,0.0,error,
266,moead_ws,49,rc101_21,2067198537,0.801,0.19873,5,0.6981,pbi,energy,1.361,400000,0,0,0.0,,,,0.0,error,
258,nsga2,47,c101_21,3285222473,0.4462,0.00879,,,,,,400000,0,0,0.0,,,,0.0,error,
250,smsemoa,29,rc101_21,859336470,0.2812,0.043,,,,,,400000,0,0,0.0,,,,0.0,error,
278,nsga2,30,r101_21,701748871,0.1398,0.00192,,,,,,400000,0,0,0.0,,,,0.0,error,
270,nsga2,35,c101_21,318716342,0.0308,0.01207,,,,,,400000,0,0,0.0,,,,0.0,error,
262,smsemoa,5,r101_21,2756084139,0.0964,0.17213,,,,,,400000,0,0,0.0,,,,0.0,error,
286,nsga2,2,r101_21,3339480328,0.8586,0.05339,,,,,,400000,0,0,0.0,,,,0.0,error,
282,smsemoa,18,c101_21,1776170612,0.5909,0.00114,,,,,,400000,0,0,0.0,,,,0.0,error,
290,nsga2,49,c201_21,3209939659,0.3618,0.00165,,,,,,400000,0,0,0.0,,,,0.0,error,
