task_id,algorithm_id,config_idx,instance,seed,pc,pm,n_neighbors,prob_neighbor_mating,decomposition,ref_dirs_method,pbi_theta,n_evals_budget,n_feasible,n_pareto,hv_local,best_f1,best_f2,best_f3,elapsed_s,status,front_path
1093,smsemoa,21,r101_21,4006830207,0.7773,0.9553,,,,,,600000,105,105,12918483.45,21.00,1904.83,230.02,394.9,ok,fronts/smsemoa__r101_21__cfg021.pkl
1082,smsemoa,53,rc101_21,1930411217,0.5426,0.6962,,,,,,600000,105,105,23259544.97,18.00,2093.85,14.45,407.0,ok,fronts/smsemoa__rc101_21__cfg053.pkl
1091,smsemoa,11,rc101_21,1663120700,0.5935,0.8456,,,,,,600000,105,105,59750242.55,21.00,2322.74,29.14,412.2,ok,fronts/smsemoa__rc101_21__cfg011.pkl
1085,nsga2,52,rc101_21,576043388,0.5149,0.9469,,,,,,600000,105,105,69672657.55,21.00,2358.94,24.59,416.7,ok,fronts/nsga2__rc101_21__cfg052.pkl
1090,nsga2,26,rc101_21,4070372520,0.7348,0.9272,,,,,,600000,105,105,36517290.16,21.00,2346.59,32.97,417.6,ok,fronts/nsga2__rc101_21__cfg026.pkl
1088,nsga2,100,rc101_21,1759790640,0.4612,0.7282,,,,,,600000,105,105,61934392.34,20.00,2282.66,35.16,428.0,ok,fronts/nsga2__rc101_21__cfg100.pkl
1083,nsga2,6,c101_21,518143336,0.3878,0.9042,,,,,,600000,105,105,139990331.79,15.00,1667.33,1144.22,451.2,ok,fronts/nsga2__c101_21__cfg006.pkl
1094,moead_ws,43,rc101_21,2770573937,0.536,0.6741,11,0.5885,weighted-sum,energy,,600000,105,101,53209075.88,22.00,2414.57,47.19,530.1,ok,fronts/moead_ws__rc101_21__cfg043.pkl
1089,moead_ws,40,r101_21,1652894444,0.91,0.8929,5,0.7764,weighted-sum,energy,,600000,105,105,51541780.14,25.00,2108.94,138.00,541.6,ok,fronts/moead_ws__r101_21__cfg040.pkl
1086,nsga2,20,rc201_21,4056466026,0.6824,0.8478,,,,,,600000,105,105,401816959.08,7.00,1396.21,156.25,585.2,ok,fronts/nsga2__rc201_21__cfg020.pkl
1092,nsga2,47,rc201_21,468203819,0.504,0.6484,,,,,,600000,105,104,167708490.72,7.00,1242.20,0.00,589.0,ok,fronts/nsga2__rc201_21__cfg047.pkl
1081,nsga2,73,rc201_21,728703815,0.5209,0.9286,,,,,,600000,105,105,500098606.02,6.00,1203.29,130.64,606.7,ok,fronts/nsga2__rc201_21__cfg073.pkl
1087,moead_ws,74,c201_21,1747434278,0.4994,0.2772,20,0.8909,tchebycheff,das-dennis,,600000,105,102,105217830.38,7.00,1474.62,3305.34,753.9,ok,fronts/moead_ws__c201_21__cfg074.pkl
1095,moead_ws,60,r201_21,1555047688,0.4513,0.7544,19,0.9374,tchebycheff,das-dennis,,600000,105,94,80251328.97,7.00,1171.70,22.38,773.7,ok,fronts/moead_ws__r201_21__cfg060.pkl
1084,nsga2,9,c201_21,364262011,0.7611,0.8763,,,,,,600000,105,105,157208714.63,5.00,1181.06,2310.88,776.0,ok,fronts/nsga2__c201_21__cfg009.pkl
1080,moead_ws,65,r201_21,2774919038,0.8328,0.9303,16,0.889,weighted-sum,das-dennis,,600000,105,105,52750140.03,8.00,1219.80,238.98,807.3,ok,fronts/moead_ws__r201_21__cfg065.pkl
1100,nsga2,65,c101_21,3769807029,0.6013,0.7486,,,,,,600000,105,105,120251197.29,15.00,1889.59,2509.19,452.3,ok,fronts/nsga2__c101_21__cfg065.pkl
1098,smsemoa,83,c101_21,3562919064,0.1884,0.4551,,,,,,600000,105,105,63685694.13,14.00,1685.91,1134.40,465.5,ok,fronts/smsemoa__c101_21__cfg083.pkl
1096,nsga2,63,r201_21,2941636675,0.8048,0.8701,,,,,,600000,105,105,38801433.49,6.00,1148.52,70.96,657.4,ok,fronts/nsga2__r201_21__cfg063.pkl
1104,moead_ws,77,r101_21,3101700140,0.5525,0.8274,20,0.8104,weighted-sum,das-dennis,,600000,105,105,44181463.86,24.00,2047.07,163.87,519.0,ok,fronts/moead_ws__r101_21__cfg077.pkl
1101,smsemoa,96,r201_21,236525298,0.7428,0.9168,,,,,,600000,105,105,109731511.71,6.00,1308.98,81.99,643.5,ok,fronts/smsemoa__r201_21__cfg096.pkl
1097,smsemoa,50,c201_21,1858344394,0.922,0.8729,,,,,,600000,105,105,75755462.56,6.00,1205.95,1533.06,690.4,ok,fronts/smsemoa__c201_21__cfg050.pkl
1106,moead_ws,89,rc101_21,2462713137,0.8958,0.9041,7,0.9517,tchebycheff,energy,,600000,105,95,53909569.17,23.00,2507.45,11.34,508.5,ok,fronts/moead_ws__rc101_21__cfg089.pkl
